TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Star Wars: The Force Awakens,BV,"$90,241,673",-39.5%,"4,134",-,"$21,829","$742,208,942",$245,3
2,2,Daddy's Home,Par.,"$29,205,583",-24.6%,"3,342",+71,"$8,739","$93,889,861",-,2
3,10,The Hateful Eight,Wein.,"$15,706,645",+240.7%,"2,474","+2,374","$6,349","$29,045,855",$44,2
4,4,Sisters,Uni.,"$12,760,730",-10.1%,"2,978",+16,"$4,285","$61,884,110",$30,3
5,5,Alvin and the Chipmunks: The Road Chip,Fox,"$12,071,523",-8.2%,"3,474",-231,"$3,475","$67,646,950",-,3
6,3,Joy,Fox,"$10,210,971",-40.0%,"2,924",+28,"$3,492","$38,521,065",$60,2
7,6,The Big Short,Par.,"$9,060,303",-14.0%,"1,588",+3,"$5,705","$33,055,481",$28,4
8,7,Concussion (2015),Sony,"$7,846,281",-25.4%,"2,841",-,"$2,762","$25,266,650",$35,2
9,8,Point Break (2015),WB,"$6,817,641",-30.4%,"2,910",-,"$2,343","$22,402,176",$105,2
10,9,The Hunger Games: Mockingjay - Part 2,LGF,"$4,616,274",-12.5%,"1,485",-328,"$3,109","$274,185,395",$160,7
11,12,The Good Dinosaur,BV,"$4,050,462",+7.0%,"1,735",-399,"$2,335","$114,766,932",-,6
12,11,Creed,WB (NL),"$3,737,106",-14.8%,"1,375",-143,"$2,718","$103,122,271",$35,6
13,14,The Danish Girl,Focus,"$1,543,909",+0.5%,449,+9,"$3,439","$6,050,349",-,6
14,18,Brooklyn,FoxS,"$1,248,858",+16.6%,285,-15,"$4,382","$20,812,853",-,9
15,17,Spotlight,ORF,"$1,185,093",+9.3%,385,-95,"$3,078","$27,108,972",-,9
16,16,Carol,Wein.,"$1,181,341",+8.0%,189,+9,"$6,250","$4,982,475",-,7
17,13,Krampus,Uni.,"$812,020",-62.9%,663,-505,"$1,225","$42,277,730",$15,5
18,15,Bajirao Mastani,Eros,"$781,658",-41.3%,302,-2,"$2,588","$5,851,672",-,3
19,21,Spectre,Sony,"$730,706",-17.6%,331,-41,"$2,208","$197,833,291",$245,9
20,19,In the Heart of the Sea,WB,"$686,785",-28.9%,533,-152,"$1,289","$23,750,170",$100,4
21,22,The Martian,Fox,"$565,404",+16.0%,282,+3,"$2,005","$225,910,757",$108,14
22,24,The Peanuts Movie,Fox,"$527,474",+17.2%,320,-39,"$1,648","$128,763,058",$99,9
23,23,The Revenant,Fox,"$447,829",-5.6%,4,-,"$111,957","$1,320,348",$135,2
24,25,Youth,FoxS,"$352,935",+1.7%,144,-5,"$2,451","$1,650,314",-,5
25,20,Dilwale,UTV,"$310,110",-66.1%,134,-93,"$2,314","$4,704,632",-,3
26,29,Hotel Transylvania 2,Sony,"$303,326",+55.2%,196,-4,"$1,548","$168,774,344",$80,15
27,26,Mr. Six,CL,"$291,359",-12.3%,28,-2,"$10,406","$1,070,706",-,2
28,31,Goosebumps,Sony,"$237,220",+42.7%,184,-7,"$1,289","$79,370,088",$58,12
29,30,Trumbo (2015),BST,"$172,279",-3.2%,90,-29,"$1,914","$7,015,228",-,9
30,33,Bridge of Spies,BV,"$162,377",+9.4%,109,-17,"$1,490","$70,610,153",$40,12
31,40,The Himalayas,CJ,"$150,807",+271.6%,25,+22,"$6,032","$256,901",-,3
32,32,Love the Coopers,LGF,"$138,764",-6.7%,213,-32,$651,"$26,193,757",$17,8
33,34,The Intern,WB,"$136,475",+31.2%,151,-,$904,"$75,711,361",$35,15
34,N,Anomalisa,Par.,"$135,222",-,4,-,"$33,806","$210,632",$8,1
35,27,Mojin: The Lost Legend,WGUSA,"$125,491",-49.9%,19,-8,"$6,605","$1,121,896",$37,3
36,35,Room,A24,"$116,219",+31.3%,91,-9,"$1,277","$4,976,972",-,12
37,28,The Night Before,Sony,"$92,429",-58.8%,132,-82,$700,"$42,977,255",$25,7
38,36,45 Years,IFC,"$87,525",+33.1%,6,+3,"$14,588","$229,173",-,2
39,N,Ho Mann Jahaan,Eros,"$77,548",-,19,-,"$4,081","$77,548",-,1
40,37,The 33,WB,"$73,211",+35.2%,111,-,$660,"$12,122,453",-,8
41,38,Sicario,LGF,"$53,594",-0.3%,59,-13,$908,"$46,823,967",$30,16
42,39,Macbeth (2015),Wein.,"$49,462",+9.5%,25,-5,"$1,978","$906,513",-,5
43,43,The Secret in their Eyes (2015),STX,"$48,412",+49.1%,67,-5,$723,"$20,119,034",$19.5,7
44,N,Devil and Angel (E Gun Tian Shi),CL,"$44,855",-,12,-,"$3,738","$64,470",-,1
45,42,Son of Saul,SPC,"$32,761",-3.8%,4,-,"$8,190","$158,534",-,3
46,41,Chi-Raq,RAtt.,"$30,448",-17.9%,17,-3,"$1,791","$2,601,330",-,5
47,44,Maze Runner: The Scorch Trials,Fox,"$29,891",+7.1%,48,-11,$623,"$81,660,593",$61,16
48,47,Mustang,Cohen,"$25,007",+29.1%,11,-,"$2,273","$186,136",-,7
49,48,Pan,WB,"$24,184",+32.0%,56,-,$432,"$35,081,641",$150,13
50,50,Janis: Little Girl Blue,FR,"$23,162",+61.1%,13,+1,"$1,782","$268,786",-,6
51,N,Chimes at Midnight (2016 re-release),Jan.,"$20,480",-,2,-,"$10,240","$20,480",-,1
52,N,Only Yesterday (2016 re-release),GK,"$14,970",-,1,-,"$14,970","$14,970",-,1
53,52,Peggy Guggenheim Art Addict,SD,"$14,779",+30.2%,9,+3,"$1,642","$393,584",-,9
54,45,Legend,Uni.,"$13,650",-42.6%,13,-6,"$1,050","$1,865,774",-,7
55,53,Suffragette,Focus,"$11,368",+21.7%,21,-2,$541,"$4,668,603",-,11
56,46,Hubble 3D,WB,"$9,473",-59.7%,4,-1,"$2,368","$50,829,288",-,282
57,51,Hitchcock/Truffaut,Cohen,"$8,279",-34.0%,6,-6,"$1,380","$206,791",-,5
58,54,Heart of a Dog,Abr.,"$7,440",-19.6%,8,-5,$930,"$322,743",-,11
59,58,Under the Sea 3D,WB,"$5,915",+67.3%,1,-1,"$5,915","$34,817,509",-,339
60,57,Woodlawn,PFR,"$5,642",+58.9%,8,-,$705,"$14,380,599",-,12
61,60,The Letters,Free,"$5,037",+96.6%,6,-1,$840,"$1,632,464",-,5
62,61,Grandma (2015),SPC,"$4,944",+145.8%,7,-,$706,"$6,928,220",$0.6,20
63,56,Labyrinth of Lies,SPC,"$4,612",-15.5%,4,-,"$1,153","$763,736",-,14
64,N,Yosemite,Mont.,"$4,461",-,2,-,"$2,231","$4,461",-,1
65,65,Theeb,FM,"$4,076",+352.4%,6,+2,$679,"$164,704",-,9
66,55,Noma - My Perfect Storm,Magn.,"$2,965",-47.6%,4,-1,$741,"$16,700",-,3
67,69,Burnt,Wein.,"$2,204",+441.5%,2,-1,"$1,102","$13,596,955",$20,10
68,62,Truth,SPC,"$2,066",+17.8%,5,-,$413,"$2,517,245",-,12
69,-,The Winding Stream,Argo.,"$2,013",-,1,-,"$2,013","$9,566",-,3
70,-,Amy,A24,"$1,979",-,2,-,$990,"$8,409,616",-,27
71,72,The World of Kanako,Drft.,"$1,271","+2,210.9%",3,+2,$424,"$14,129",-,5
72,64,Born to Be Wild (IMAX),WB,"$1,259",+9.6%,2,-,$630,"$24,456,271",-,225
73,68,Journey to the South Pacific,Imax,"$1,206",+139.8%,4,+1,$302,"$7,090,835",-,89
74,-,Deep Sea 3D (IMAX),WB,$975,-,1,-,$975,"$46,149,360",-,467
75,-,Flowers,MBox,$907,-,2,-,$454,"$51,238",-,10
76,-,Gabo: The Creation of Gabriel Garcia Marquez,Icar.,$744,-,2,+1,$372,"$11,420",-,14
77,70,Island of Lemurs: Madagascar (IMAX),WB,$742,+189.8%,3,-,$247,"$10,472,299",-,92
78,67,Remember (Canada Release),EOne,$690,+10.6%,5,+4,$138,"$501,931",-,12
79,-,The Summer of Sangaile,Strand,$584,-,2,-,$292,"$1,700",-,5
80,59,Yellow Day (2015),PFP,$570,-81.0%,3,-6,$190,"$31,267",-,4
