TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Kung Fu Panda 3,Fox,"$21,242,181",-48.5%,"3,987",+32,"$5,328","$69,293,138",$145,2
2,N,"Hail, Caesar!",Uni.,"$11,355,225",-,"2,232",-,"$5,087","$11,355,225",$22,1
3,3,Star Wars: The Force Awakens,BV,"$6,973,316",-37.3%,"2,262",-294,"$3,083","$906,044,785",$245,8
4,2,The Revenant,Fox,"$6,939,795",-45.7%,"3,018",-312,"$2,299","$149,543,198",$135,7
5,N,The Choice,LGF,"$6,050,443",-,"2,631",-,"$2,300","$6,050,443",-,1
6,N,Pride and Prejudice and Zombies,SGem,"$5,324,240",-,"2,931",-,"$1,817","$5,324,240",$28,1
7,4,The Finest Hours,BV,"$4,826,239",-53.1%,"3,143",-,"$1,536","$18,491,899",-,2
8,5,Ride Along 2,Uni.,"$4,560,715",-45.9%,"2,172",-240,"$2,100","$77,247,545",$40,4
9,7,The Boy (2016),STX,"$4,083,822",-45.9%,"2,214",-457,"$1,845","$26,881,506",$10,3
10,6,Dirty Grandpa,LGF,"$4,040,023",-46.8%,"2,567",-345,"$1,574","$29,379,776",$25,3
11,8,The 5th Wave,Sony,"$3,773,788",-47.2%,"2,346",-562,"$1,609","$25,738,988",$38,3
12,9,13 Hours: The Secret Soldiers of Benghazi,Par.,"$2,850,304",-54.6%,"2,059",-744,"$1,384","$47,742,896",$50,4
13,10,Fifty Shades of Black,ORF,"$2,080,924",-64.7%,"2,075",-,"$1,003","$9,371,544",-,2
14,11,The Big Short,Par.,"$1,710,205",-44.2%,860,-123,"$1,989","$63,660,681",$28,9
15,12,Daddy's Home,Par.,"$1,477,840",-51.6%,"1,018",-700,"$1,452","$145,237,796",-,7
16,13,Brooklyn,FoxS,"$1,179,319",-33.0%,703,-45,"$1,678","$32,380,262",-,14
17,15,Spotlight,ORF,"$835,514",-30.4%,668,-47,"$1,251","$36,104,348",-,14
18,14,Room,A24,"$731,117",-40.9%,631,-164,"$1,159","$11,201,500",-,17
19,23,45 Years,IFC,"$475,908",+0.5%,154,+61,"$3,090","$1,986,820",-,7
20,21,2016 Oscar Nominated Short Films,Shrts.,"$427,455",-23.6%,170,+47,"$2,514","$1,213,854",-,2
21,28,The Lady in the Van,SPC,"$353,227",+17.6%,82,+32,"$4,308","$1,217,449",-,10
22,18,The Hateful Eight,Wein.,"$343,989",-52.2%,373,-132,$922,"$53,007,830",$44,7
23,24,Alvin and the Chipmunks: The Road Chip,Fox,"$295,929",-35.6%,300,-153,$986,"$83,650,860",-,8
24,22,Ip Man 3,WGUSA,"$275,786",-47.6%,112,-3,"$2,462","$2,126,511",-,3
25,19,Sisters,Uni.,"$241,565",-62.6%,287,-242,$842,"$86,535,790",$30,8
26,20,Joy,Fox,"$241,557",-58.0%,286,-161,$845,"$55,845,747",$60,7
27,26,Carol,Wein.,"$222,152",-49.0%,236,-77,$941,"$11,816,008",-,12
28,30,Creed,WB (NL),"$211,265",-25.4%,242,-6,$873,"$108,988,796",$35,11
29,16,Norm of the North,LGF,"$189,228",-80.5%,338,"-1,168",$560,"$16,326,952",-,4
30,29,The Good Dinosaur,BV,"$186,350",-36.5%,194,-91,$961,"$120,669,653",-,11
31,N,The Monkey King 2 in 3D,CL,"$166,391",-,38,-,"$4,379","$166,391",-,1
32,31,The Hunger Games: Mockingjay - Part 2,LGF,"$162,227",-39.9%,207,-47,$784,"$280,976,000",$160,12
33,27,Anomalisa,Par.,"$156,871",-55.9%,147,-22,"$1,067","$2,233,178",$8,6
34,32,The Danish Girl,Focus,"$139,426",-46.2%,155,-69,$900,"$10,613,785",-,11
35,17,Jane Got a Gun,Wein.,"$137,523",-83.5%,"1,031",-179,$133,"$1,397,284",-,2
36,25,The Forest,Focus,"$130,770",-70.5%,162,-370,$807,"$26,190,264",$10,5
37,33,The Martian,Fox,"$113,717",-46.3%,173,-57,$657,"$228,120,056",$108,19
38,37,Point Break (2015),WB,"$100,170",-34.2%,166,-6,$603,"$28,617,282",$105,7
39,36,Concussion (2015),Sony,"$90,283",-43.9%,116,-42,$778,"$34,255,169",$35,7
40,35,Son of Saul,SPC,"$90,059",-45.2%,54,-1,"$1,668","$874,200",-,8
41,34,Bridge of Spies,BV,"$87,572",-56.5%,139,-79,$630,"$72,051,548",$40,17
42,41,In the Heart of the Sea,WB,"$69,802",-30.6%,131,-24,$533,"$24,985,612",$100,9
43,38,Spectre,Sony,"$67,322",-49.3%,115,-80,$585,"$199,591,466",$245,14
44,39,The Peanuts Movie,Fox,"$65,679",-40.5%,145,-34,$453,"$129,984,193",$99,14
45,44,Goosebumps,Sony,"$40,082",-42.9%,70,-18,$573,"$80,021,740",$58,17
46,42,Trumbo (2015),BST,"$38,908",-51.1%,61,-17,$638,"$7,707,294",-,14
47,45,Hotel Transylvania 2,Sony,"$38,062",-45.4%,92,-17,$414,"$169,611,752",$80,20
48,47,Mustang,Cohen,"$34,524",-22.1%,30,-2,"$1,151","$574,186",-,12
49,N,Regression,W/Dim.,"$33,915",-,100,-,$339,"$33,915",-,1
50,46,Youth,FoxS,"$26,839",-55.1%,41,-3,$655,"$2,577,094",-,10
51,N,Sanam Teri Kasam,Eros,"$22,121",-,32,-,$691,"$22,121",-,1
52,49,Hubble 3D,WB,"$17,840",-13.3%,9,-1,"$1,982","$51,043,958",-,292
53,-,A Melody to Remember,CJ,"$16,490",-,13,-,"$1,268","$22,363",-,2
54,56,Boy and the World,GK,"$13,904",+50.3%,19,+3,$732,"$69,124",-,9
55,N,Rams (Hrútar),Cohen,"$13,289",-,3,-,"$4,430","$16,014",-,1
56,N,Eisenstein in Guanajuato,Strand,"$9,823",-,4,-,"$2,456","$9,823",-,1
57,N,I Knew Her Well,Jan.,"$9,312",-,1,-,"$9,312","$9,312",-,1
58,53,Macbeth (2015),Wein.,"$8,685",-19.8%,10,-3,$869,"$1,092,122",-,10
59,69,Janis: Little Girl Blue,FR,"$7,887",+99.2%,4,+1,"$1,972","$368,692",-,11
60,N,Tumbledown,SM,"$7,331",-,2,-,"$3,666","$7,331",-,1
61,40,Lazer Team,Ampl.,"$6,981",-93.6%,10,-25,$698,"$1,149,878",-,2
62,50,Aferim!,BWP,"$6,607",-66.1%,3,-3,"$2,202","$60,519",-,3
63,N,The Club,MBox,"$6,514",-,2,-,"$3,257","$6,514",-,1
64,N,Southbound,Orch.,"$6,250",-,4,-,"$1,563","$6,250",-,1
65,78,Heart of a Dog,Abr.,"$5,482",+172.5%,4,-1,"$1,371","$373,607",-,16
66,62,Theeb,FM,"$4,139",-47.0%,9,-6,$460,"$230,478",-,14
67,58,Bajirao Mastani,Eros,"$4,009",-50.9%,302,-,$13,"$6,557,047",-,8
