TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Zootopia,BV,"$37,164,158",-27.6%,"3,959",+132,"$9,387","$200,929,655",-,3
2,N,The Divergent Series: Allegiant,LG/S,"$29,027,348",-,"3,740",-,"$7,761","$29,027,348",-,1
3,N,Miracles from Heaven,TriS,"$14,812,393",-,"3,047",-,"$4,861","$18,369,446",$13,1
4,2,10 Cloverfield Lane,Par.,"$12,506,539",-49.4%,"3,427",+36,"$3,649","$45,183,178",-,2
5,3,Deadpool,Fox,"$8,011,984",-26.8%,"2,924",-407,"$2,740","$340,953,367",$58,6
6,4,London Has Fallen,Focus,"$6,848,377",-36.8%,"3,011",-481,"$2,274","$50,044,197",$60,3
7,5,Whiskey Tango Foxtrot,Par.,"$2,801,718",-39.9%,"2,079",-334,"$1,348","$19,272,558",$35,3
8,6,The Perfect Match,LGF,"$1,974,056",-54.0%,925,-,"$2,134","$7,380,235",-,2
9,8,The Brothers Grimsby,Sony,"$1,420,281",-56.4%,"2,235",-,$635,"$5,932,951",-,2
10,11,The Revenant,Fox,"$1,207,791",-41.3%,935,-368,"$1,292","$181,144,329",$135,13
11,10,Risen,Sony,"$1,145,157",-49.8%,"1,205",-890,$950,"$34,471,827",$20,5
12,9,Gods of Egypt,LG/S,"$1,125,176",-55.8%,"1,075","-1,231","$1,047","$29,507,952",$140,4
13,7,The Young Messiah,Focus,"$1,089,234",-66.9%,"1,769",+8,$616,"$5,401,589",-,2
14,43,"Hello, My Name is Doris",RAtt.,"$998,242","+1,074.6%",128,+124,"$7,799","$1,115,909",-,2
15,N,Kapoor & Sons - Since 1921,FIP,"$986,992",-,143,-,"$6,902","$986,992",-,1
16,12,Kung Fu Panda 3,Fox,"$971,417",-43.1%,719,-931,"$1,351","$138,384,931",$145,8
17,14,Star Wars: The Force Awakens,BV,"$966,071",-25.6%,568,-192,"$1,701","$932,324,258",$245,14
18,65,Anomalisa,Par.,"$760,451","+5,037.1%",573,+551,"$1,327","$3,445,135",$8,12
19,13,Eddie the Eagle,Fox,"$602,325",-61.7%,682,-886,$883,"$14,728,827",$23,4
20,16,Spotlight,ORF,"$423,465",-54.5%,443,-404,$956,"$44,000,003",-,20
21,39,Eye in the Sky,BST,"$422,704",+271.4%,35,+30,"$12,077","$574,728",-,2
22,20,The Lady in the Van,SPC,"$405,548",-29.3%,301,-62,"$1,347","$8,742,199",-,16
23,15,The Witch,A24,"$401,929",-60.0%,361,-584,"$1,113","$23,750,291",$4,5
24,17,How to Be Single,WB (NL),"$401,257",-56.6%,366,-401,"$1,096","$45,951,979",$38,6
25,N,The Bronze,SPC,"$386,328",-,"1,167",-,$331,"$386,328",-,1
26,25,Daddy's Home,Par.,"$384,024",+36.5%,267,+35,"$1,438","$149,762,261",-,13
27,18,Race (2016),Focus,"$360,198",-50.8%,401,-288,$898,"$18,514,653",-,5
28,22,Ride Along 2,Uni.,"$248,040",-39.9%,247,-121,"$1,004","$90,497,385",$40,10
29,19,The Other Side of the Door,Fox,"$231,954",-66.4%,227,-358,"$1,022","$2,781,487",-,3
30,N,Midnight Special,WB,"$190,012",-,5,-,"$38,002","$190,012",-,1
31,54,The Hateful Eight,Wein.,"$186,557",+601.3%,484,+443,$385,"$53,885,863",$44,13
32,23,"Hail, Caesar!",Uni.,"$182,225",-40.6%,163,-92,"$1,118","$29,997,095",$22,7
33,30,The Finest Hours,BV,"$178,430",-,176,+34,"$1,014","$27,279,548",-,8
34,21,Triple 9,ORF,"$162,774",-68.2%,197,-498,$826,"$12,310,219",-,4
35,29,Embrace of the Serpent,Osci.,"$150,159",-17.7%,86,+11,"$1,746","$753,229",-,5
36,26,Brooklyn,FoxS,"$147,414",-42.7%,152,-73,$970,"$37,921,262",-,20
37,24,The Big Short,Par.,"$138,652",-52.9%,133,-89,"$1,042","$70,057,836",$28,15
38,36,The Little Prince,EOne,"$128,512",-10.0%,146,-17,$880,"$1,012,918",-,6
39,27,The Boy (2016),STX,"$125,952",-48.8%,132,-84,$954,"$35,696,125",$10,9
40,28,The 5th Wave,Sony,"$116,433",-41.9%,138,-63,$844,"$34,140,147",$38,9
41,37,Alvin and the Chipmunks: The Road Chip,Fox,"$115,205",-19.2%,216,+35,$533,"$85,449,592",-,14
42,31,Where to Invade Next,Drft.,"$110,979",-37.6%,110,-41,"$1,009","$3,464,252",-,6
43,41,Knight of Cups,BG,"$107,870",+12.8%,68,+32,"$1,586","$335,558",-,3
