TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,The Jungle Book (2016),BV,"$43,714,706",-29.0%,"4,041",+13,"$10,818","$253,371,506",$175,3
2,2,The Huntsman: Winter's War,Uni.,"$9,619,300",-50.5%,"3,802",+11,"$2,530","$34,215,325",$115,2
3,N,Keanu,WB (NL),"$9,453,224",-,"2,658",-,"$3,557","$9,453,224",$15,1
4,N,Mother's Day,ORF,"$8,369,184",-,"3,035",-,"$2,758","$8,369,184",$25,1
5,3,Barbershop: The Next Cut,WB (NL),"$6,080,496",-42.2%,"2,310",-366,"$2,632","$44,661,136",-,3
6,4,Zootopia,BV,"$5,328,858",-19.0%,"2,487",-311,"$2,143","$323,841,347",-,9
7,N,Ratchet & Clank,Focus,"$4,869,278",-,"2,891",-,"$1,684","$4,869,278",-,1
8,5,The Boss,Uni.,"$4,286,820",-31.2%,"2,823",-552,"$1,519","$56,147,945",$29,4
9,6,Batman v Superman: Dawn of Justice,WB,"$3,869,416",-29.7%,"2,330",-736,"$1,661","$325,192,009",$250,6
10,7,Criminal (2016),LG/S,"$1,346,196",-56.8%,"1,578","-1,105",$853,"$13,497,363",-,3
11,8,My Big Fat Greek Wedding 2,Uni.,"$1,108,820",-47.1%,"1,092",-657,"$1,015","$57,295,620",-,6
12,11,A Hologram for the King,RAtt.,"$943,775",-17.1%,523,+122,"$1,805","$2,565,189",-,2
13,24,Green Room,A24,"$926,370",+369.3%,470,+440,"$1,971","$1,323,256",-,3
14,10,Eye in the Sky,BST,"$909,215",-24.5%,614,-224,"$1,481","$16,402,697",-,8
15,9,Compadres,PNT,"$650,844",-53.4%,368,-,"$1,769","$2,393,033",-,2
16,12,God's Not Dead 2,PFR,"$610,785",-45.5%,739,-429,$827,"$19,941,153",-,5
17,13,Miracles from Heaven,TriS,"$536,864",-50.0%,660,-604,$813,"$59,669,273",$13,7
18,N,Papa: Hemingway in Cuba,YFG,"$475,224",-,325,-,"$1,462","$475,224",-,1
19,17,"Hello, My Name is Doris",RAtt.,"$452,953",-28.9%,406,-90,"$1,116","$12,777,652",-,8
20,14,Deadpool,Fox,"$432,888",-36.4%,409,-185,"$1,058","$361,827,263",$58,12
21,15,Everybody Wants Some!!,Par.,"$379,018",-41.9%,442,-12,$858,"$3,000,729",-,5
22,16,Miles Ahead,SPC,"$347,703",-45.6%,390,-137,$892,"$1,978,737",-,5
23,30,Sing Street,Wein.,"$323,356",+159.8%,104,+79,"$3,109","$582,264",-,3
24,19,10 Cloverfield Lane,Par.,"$295,192",-46.7%,305,-290,$968,"$71,244,940",-,8
25,18,The Divergent Series: Allegiant,LG/S,"$293,307",-53.8%,410,-442,$715,"$65,532,431",-,7
26,22,Kung Fu Panda 3,Fox,"$270,618",-1.4%,258,-15,"$1,049","$141,993,955",$145,14
27,N,Baaghi,UTV,"$237,215",-,78,-,"$3,041","$237,215",-,1
28,N,A Beautiful Planet,Imax,"$223,983",-,137,-,"$1,635","$223,983",-,1
29,20,Elvis & Nixon,BST,"$213,654",-54.2%,310,-71,$689,"$898,695",-,2
30,35,The Meddler,SPC,"$164,324",+188.2%,24,+20,"$6,847","$150,685",-,2
31,25,WARx2,WARX2,"$155,102",-17.6%,11,-1,"$14,100","$650,674",-,9
32,26,London Has Fallen,Focus,"$139,042",-25.0%,178,-97,$781,"$61,937,290",$60,9
33,28,Star Wars: The Force Awakens,BV,"$112,780",-26.7%,158,-50,$714,"$936,234,288",$245,20
34,68,Dough,Men.,"$105,043","+1,497.4%",34,+29,"$3,090","$483,925",-,12
35,40,Spotlight,ORF,"$95,676",+206.1%,224,+133,$427,"$44,988,180",-,26
36,N,The Man Who Knew Infinity,IFC,"$80,325",-,6,-,"$13,388","$80,325",-,1
37,-,The First Monday in May,Magn.,"$73,184",-,43,-,"$1,702","$372,498",-,3
38,29,Midnight Special,WB,"$70,052",-47.1%,102,-72,$687,"$3,584,078",-,7
39,31,The Revenant,Fox,"$68,812",-36.8%,141,-29,$488,"$183,539,054",$135,19
40,27,Unsullied,Indic.,"$67,480",-62.3%,56,-46,"$1,205","$392,962",-,2
41,23,Meet the Blacks,Free,"$64,901",-68.2%,92,-190,$705,"$8,875,045",-,5
42,21,Hardcore Henry,STX,"$62,837",-77.8%,119,-400,$528,"$9,209,903",-,4
43,32,Gods of Egypt,LG/S,"$57,774",-28.4%,107,-45,$540,"$31,089,811",$140,10
44,34,The 5th Wave,Sony,"$57,686",+0.7%,74,-15,$780,"$34,800,570",$38,15
45,N,Viva,Magn.,"$48,995",-,14,-,"$3,500","$48,995",-,1
