TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,X-Men: Apocalypse,Fox,"$65,769,562",-,"4,150",-,"$15,848","$65,769,562",$178,1
2,N,Alice Through the Looking Glass,BV,"$26,858,726",-,"3,763",-,"$7,138","$26,858,726",$170,1
3,1,The Angry Birds Movie,Sony,"$18,769,491",-50.8%,"3,932",-,"$4,774","$66,422,800",$73,2
4,2,Captain America: Civil War,BV,"$15,395,723",-53.3%,"3,395",-831,"$4,535","$372,871,672",$250,4
5,3,Neighbors 2: Sorority Rising,Uni.,"$9,354,380",-57.0%,"3,416",+32,"$2,738","$38,590,960",-,2
6,5,The Jungle Book (2016),BV,"$7,086,832",-35.2%,"2,523",-937,"$2,809","$338,598,741",$175,7
7,4,The Nice Guys,WB,"$6,516,234",-41.8%,"2,865",-,"$2,274","$21,879,906",$50,2
8,6,Money Monster,TriS,"$4,328,814",-38.3%,"2,315",-789,"$1,870","$33,981,040",$27,3
9,14,Love & Friendship,RAtt.,"$2,413,144",+331.1%,493,+446,"$4,895","$3,406,692",-,3
10,8,Zootopia,BV,"$801,747",-52.4%,572,-805,"$1,402","$335,845,392",-,13
11,18,The Lobster (US Release),A24,"$750,953",+93.0%,116,+92,"$6,474","$1,590,047",-,3
12,7,The Darkness,BH Tilt,"$713,302",-68.6%,"1,004",-765,$710,"$9,825,681",-,3
13,12,The Meddler,SPC,"$526,672",-32.7%,420,-44,"$1,254","$2,969,890",-,6
14,22,Batman v Superman: Dawn of Justice,WB,"$517,706",+66.5%,361,+40,"$1,434","$329,361,631",$250,10
15,16,The Man Who Knew Infinity,IFC,"$432,059",-12.8%,288,+17,"$1,500","$2,294,817",-,5
16,20,A Bigger Splash,FoxS,"$405,292",+23.1%,378,+250,"$1,072","$1,318,143",-,4
17,9,The Huntsman: Winter's War,Uni.,"$366,340",-69.7%,374,-872,$980,"$47,497,085",$115,6
18,23,Kung Fu Panda 3,Fox,"$256,103",+14.5%,193,-26,"$1,327","$143,091,472",$145,18
