TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,The Conjuring 2,WB (NL),"$40,406,314",-,"3,343",-,"$12,087","$40,406,314",$40,1
2,N,Warcraft,Uni.,"$24,166,110",-,"3,400",-,"$7,108","$24,166,110",$160,1
3,N,Now You See Me 2,LG/S,"$22,383,146",-,"3,232",-,"$6,925","$22,383,146",-,1
4,1,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$14,386,565",-59.3%,"4,071",-,"$3,534","$60,626,348",$135,2
5,2,X-Men: Apocalypse,Fox,"$9,915,017",-56.6%,"3,585",-568,"$2,766","$136,289,212",$178,3
6,3,Me Before You,WB (NL),"$9,038,263",-51.7%,"2,762",+58,"$3,272","$36,650,841",$20,2
7,5,The Angry Birds Movie,Sony,"$6,550,445",-35.9%,"3,083",-401,"$2,125","$98,020,068",$73,4
8,4,Alice Through the Looking Glass,BV,"$5,646,012",-50.1%,"2,898",-865,"$1,948","$62,538,623",$170,3
9,6,Captain America: Civil War,BV,"$4,314,343",-44.9%,"2,101",-983,"$2,053","$396,871,490",$250,6
10,9,The Jungle Book (2016),BV,"$2,761,034",-37.9%,"1,496",-494,"$1,846","$352,689,723",$175,9
11,7,Neighbors 2: Sorority Rising,Uni.,"$2,120,535",-56.4%,"1,581",-836,"$1,341","$53,088,760",-,4
12,10,The Nice Guys,WB,"$1,960,130",-43.2%,"1,147",-741,"$1,709","$32,502,322",$50,4
13,8,Popstar: Never Stop Never Stopping,Uni.,"$1,678,730",-64.3%,"2,313",+2,$726,"$8,310,010",-,2
14,11,Love & Friendship,RAtt.,"$1,409,314",-34.1%,826,+7,"$1,706","$9,426,189",-,5
15,13,The Lobster (US Release),A24,"$987,794",-32.2%,560,-,"$1,764","$5,174,015",-,5
16,12,Money Monster,TriS,"$700,810",-62.4%,731,-592,$959,"$39,769,480",$27,5
17,25,Maggie's Plan,SPC,"$623,248",+337.0%,311,+277,"$2,004","$1,071,019",-,4
18,15,Zootopia,BV,"$556,988",-26.1%,319,-81,"$1,746","$338,198,507",-,15
19,14,A Aa,BSC,"$345,324",-71.5%,95,-20,"$3,635","$2,256,403",-,2
20,N,Te3n,Rel.,"$258,066",-,104,-,"$2,481","$258,066",-,1
21,16,Housefull 3,Eros,"$227,291",-66.8%,145,-,"$1,568","$1,157,163",-,2
22,17,Batman v Superman: Dawn of Justice,WB,"$193,821",-32.3%,215,-55,$901,"$330,249,062",$250,12
23,18,The Man Who Knew Infinity,IFC,"$167,031",-39.6%,115,-80,"$1,452","$3,188,871",-,7
24,21,Weiner,IFC,"$160,133",-20.3%,71,+13,"$2,255","$835,874",-,4
25,22,WARx2,WARX2,"$148,716",-18.5%,14,-,"$10,623","$1,572,907",-,21
26,31,Barbershop: The Next Cut,WB (NL),"$135,049",+41.6%,182,+64,$742,"$53,651,877",-,9
27,27,A Beautiful Planet,Imax,"$134,430",+5.4%,38,-1,"$3,538","$2,168,012",-,7
28,19,The Meddler,SPC,"$129,790",-49.1%,136,-96,$954,"$3,900,943",-,8
29,20,The Wailing (Goksung),WGUSA,"$123,772",-43.4%,35,+3,"$3,536","$541,689",-,4
30,N,Genius,RAtt.,"$98,274",-,16,-,"$6,142","$98,274",-,1
31,23,The Darkness,BH Tilt,"$96,315",-45.3%,97,-111,$993,"$10,583,535",-,5
32,26,The Huntsman: Winter's War,Uni.,"$85,450",-37.3%,141,-26,$606,"$47,952,020",$115,8
33,29,The Boss,Uni.,"$80,125",-22.1%,127,-30,$631,"$63,034,755",$29,10
34,28,Miracles from Heaven,TriS,"$77,003",-28.7%,159,-,$484,"$61,391,820",$13,13
35,35,Sing Street,Wein.,"$66,007",+41.0%,111,+54,$595,"$2,984,926",-,9
36,24,A Bigger Splash,FoxS,"$57,733",-64.4%,57,-163,"$1,013","$1,868,477",-,6
37,37,Eye in the Sky,BST,"$54,844",+69.0%,84,+41,$653,"$18,510,168",-,14
38,34,Dark Horse (2016),SPC,"$43,237",-11.1%,28,+2,"$1,544","$265,842",-,6
39,30,Mother's Day,ORF,"$41,406",-57.9%,115,-93,$360,"$32,463,917",$25,7
40,32,Kung Fu Panda 3,Fox,"$34,770",-43.9%,88,-46,$395,"$143,351,698",$145,20
41,36,"Hello, My Name is Doris",RAtt.,"$31,928",-28.4%,49,-19,$652,"$14,333,617",-,14
42,N,De Palma,A24,"$30,355",-,3,-,"$10,118","$30,355",-,1
43,N,Puerto Ricans in Paris,FCW,"$26,674",-,41,-,$651,"$90,884",-,1
44,42,Dheepan,IFC,"$26,459",+73.0%,22,+11,"$1,203","$157,479",-,6
45,N,The Music of Strangers,Orch.,"$24,614",-,3,-,"$8,205","$24,614",-,1
46,33,Deadpool,Fox,"$21,490",-57.5%,36,-33,$597,"$363,063,801",$58,18
47,N,Blackway,Electric,"$16,458",-,11,-,"$1,496","$16,458",-,1
48,38,Keanu,WB (NL),"$15,731",-50.6%,31,-13,$507,"$20,418,541",$15,7
49,41,Dough,Men.,"$14,520",-6.7%,16,-2,$908,"$997,854",-,18
50,49,The Fits,Osci.,"$14,473",+36.5%,4,+3,"$3,618","$30,322",-,2
51,N,Be Somebody,TUG,"$14,129",-,15,-,$942,"$14,129",-,1
52,50,Jimmy Vestvood: Amerikan Hero,SkyI,"$13,487",+27.4%,6,-,"$2,248","$184,756",-,5
53,43,The Witness,FR,"$12,926",-11.0%,2,+1,"$6,463","$33,020",-,2
54,46,Time to Choose,Abr.,"$11,864",-3.0%,9,+3,"$1,318","$29,233",-,2
55,44,A Hologram for the King,RAtt.,"$10,280",-28.3%,17,-10,$605,"$4,164,366",-,8
56,N,Diary of a Chambermaid,Cohen,"$10,053",-,2,-,"$5,027","$10,053",-,1
57,40,High-Rise,Magn.,"$8,937",-51.5%,7,-12,"$1,277","$285,838",-,5
58,54,The Fallen Idol (2016 re-issue),Rialto,"$6,928",-11.8%,4,-,"$1,732","$39,984",-,3
59,55,Born to Be Wild (IMAX),WB,"$6,818",-11.4%,7,-1,$974,"$24,741,092",-,271
60,48,Miles Ahead,SPC,"$6,813",-40.0%,11,-5,$619,"$2,568,959",-,11
61,45,God's Not Dead 2,PFR,"$6,543",-47.7%,17,-11,$385,"$20,712,690",-,11
62,63,Saturday's Warrior,Purd.,"$5,838",+19.8%,8,-4,$730,"$623,522",-,11
63,76,The Lobster (Canada Release),Mon,"$5,600",+214.6%,6,+4,$933,"$371,765",-,12
64,51,Green Room,A24,"$5,548",-44.1%,10,-9,$555,"$3,205,979",-,9
65,60,Wedding Doll,Strand,"$5,509",-4.0%,7,+1,$787,"$29,674",-,9
66,N,From Afar,Strand,"$5,136",-,1,-,"$5,136","$7,222",-,1
67,N,Germans & Jews,FRun,"$5,024",-,1,-,"$5,024","$5,024",-,1
68,-,Francofonia,MBox,"$4,307",-,5,-,$861,"$290,055",-,11
69,82,Sweet Bean,KL,"$4,276",+267.0%,1,-1,"$4,276","$70,987",-,13
70,52,Presenting Princess Shaw,Magn.,"$4,111",-53.2%,4,-8,"$1,028","$23,901",-,3
71,-,Ran (2016 re-issue),Rialto,"$3,945",-,2,-,"$1,973","$63,058",-,16
72,56,Meet the Blacks,Free,"$3,826",-45.2%,10,-7,$383,"$9,093,856",-,11
73,N,Tikkun,KL,"$3,595",-,2,-,"$1,798","$3,595",-,1
74,69,Chevalier,Strand,"$3,465",+9.5%,7,+4,$495,"$20,025",-,3
75,N,Therapy for a Vampire,MBox,"$3,361",-,2,-,"$1,681","$3,361",-,1
