TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Finding Dory,BV,"$135,060,273",-,"4,305",-,"$31,373","$135,060,273",-,1
2,N,Central Intelligence,WB (NL),"$35,535,250",-,"3,508",-,"$10,130","$35,535,250",$50,1
3,1,The Conjuring 2,WB (NL),"$14,880,050",-63.2%,"3,356",+13,"$4,434","$71,055,136",$40,2
4,3,Now You See Me 2,LG/S,"$9,373,379",-58.1%,"3,232",-,"$2,900","$41,085,908",-,2
5,2,Warcraft,Uni.,"$7,241,430",-70.0%,"3,406",+6,"$2,126","$38,432,955",$160,2
6,5,X-Men: Apocalypse,Fox,"$5,309,290",-46.5%,"2,632",-953,"$2,017","$146,157,126",$178,4
7,4,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$5,251,531",-63.5%,"3,086",-985,"$1,702","$71,981,105",$135,3
8,8,Alice Through the Looking Glass,BV,"$4,290,760",-24.0%,"1,880","-1,018","$2,282","$69,993,684",$170,4
9,6,Me Before You,WB (NL),"$3,911,175",-56.7%,"2,645",-117,"$1,479","$46,112,029",$20,3
10,9,Captain America: Civil War,BV,"$2,331,622",-46.0%,"1,434",-667,"$1,626","$401,312,591",$250,7
11,7,The Angry Birds Movie,Sony,"$1,693,096",-74.2%,"2,021","-1,062",$838,"$103,183,943",$73,5
12,10,The Jungle Book (2016),BV,"$1,488,657",-46.1%,953,-543,"$1,562","$355,909,308",$175,10
13,18,Zootopia,BV,"$947,753",+70.2%,305,-14,"$3,107","$339,507,242",-,16
14,12,The Nice Guys,WB,"$822,340",-58.0%,522,-625,"$1,575","$34,186,436",$50,5
15,14,Love & Friendship,RAtt.,"$736,388",-47.7%,497,-329,"$1,482","$10,932,212",-,6
16,15,The Lobster (US Release),A24,"$602,175",-39.0%,319,-241,"$1,888","$6,265,851",-,6
17,N,Gentleman,Gaatri,"$537,490",-,126,-,"$4,266","$537,490",-,1
18,17,Maggie's Plan,SPC,"$430,521",-30.9%,335,+24,"$1,285","$1,764,740",-,5
19,11,Neighbors 2: Sorority Rising,Uni.,"$352,005",-83.4%,464,"-1,117",$759,"$54,542,870",-,5
20,30,Genius,RAtt.,"$298,280",+203.5%,134,+118,"$2,226","$434,830",-,2
21,25,WARx2,WARX2,"$270,337",+81.8%,16,+2,"$16,896","$1,843,244",-,23
22,16,Money Monster,TriS,"$228,819",-67.3%,286,-445,$800,"$40,316,380",$27,6
23,13,Popstar: Never Stop Never Stopping,Uni.,"$169,140",-89.9%,211,"-2,102",$802,"$9,393,835",-,3
24,24,Weiner,IFC,"$128,048",-20.0%,80,+9,"$1,601","$1,039,294",-,5
25,23,The Man Who Knew Infinity,IFC,"$127,982",-23.4%,88,-27,"$1,454","$3,397,702",-,8
26,27,A Beautiful Planet,Imax,"$123,068",-8.5%,39,+1,"$3,156","$2,431,251",-,8
27,38,Dark Horse (2016),SPC,"$73,782",+70.6%,43,+15,"$1,716","$364,118",-,7
28,26,Barbershop: The Next Cut,WB (NL),"$67,634",-49.9%,121,-61,$559,"$53,790,084",-,10
29,28,The Meddler,SPC,"$66,418",-48.8%,94,-42,$707,"$4,030,782",-,9
30,21,Housefull 3,Eros,"$57,895",-74.5%,145,-,$399,"$1,303,243",-,3
31,29,The Wailing (Goksung),WGUSA,"$56,823",-54.1%,23,-12,"$2,471","$657,946",-,5
32,48,Keanu,WB (NL),"$55,496",+252.8%,123,+92,$451,"$20,484,391",$15,8
33,34,Miracles from Heaven,TriS,"$45,800",-40.5%,93,-66,$492,"$61,487,233",$13,14
34,31,The Darkness,BH Tilt,"$42,108",-56.3%,106,+9,$397,"$10,658,462",-,6
35,37,Eye in the Sky,BST,"$41,915",-23.6%,66,-18,$635,"$18,581,987",-,15
36,42,De Palma,A24,"$35,794",+17.9%,19,+16,"$1,884","$79,555",-,2
37,36,A Bigger Splash,FoxS,"$34,806",-39.7%,37,-20,$941,"$1,936,524",-,7
38,45,The Music of Strangers,Orch.,"$30,795",+25.1%,11,+8,"$2,800","$68,160",-,2
39,N,Clown,W/Dim.,"$26,920",-,100,-,$269,"$26,920",-,1
40,35,Sing Street,Wein.,"$26,808",-59.4%,55,-56,$487,"$3,039,179",-,10
41,N,Raiders!: The Story of the Greatest Fan Film Ever Made,Drft.,"$26,059",-,24,-,"$1,086","$26,059",-,1
