TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Finding Dory,BV,"$41,817,176",-42.7%,"4,305",-,"$9,714","$372,166,778",-,3
2,N,The Legend of Tarzan,WB,"$38,527,856",-,"3,561",-,"$10,819","$38,527,856",$180,1
3,N,The Purge: Election Year,Uni.,"$31,515,110",-,"2,796",-,"$11,271","$31,515,110",$10,1
4,N,The BFG,BV,"$18,775,350",-,"3,357",-,"$5,593","$18,775,350",$140,1
5,2,Independence Day: Resurgence,Fox,"$16,718,966",-59.3%,"4,091",-39,"$4,087","$72,876,039",$165,2
6,3,Central Intelligence,WB (NL),"$12,512,353",-31.4%,"3,166",-342,"$3,952","$91,949,427",$50,3
7,4,The Shallows,Sony,"$8,777,190",-47.8%,"2,962",-,"$2,963","$35,028,837",$17,2
8,6,Free State of Jones,STX,"$4,140,510",-45.3%,"2,781",-34,"$1,489","$15,206,221",$50,2
9,5,The Conjuring 2,WB (NL),"$3,835,983",-50.2%,"2,008","-1,025","$1,910","$95,269,521",$40,4
10,7,Now You See Me 2,LG/S,"$2,958,764",-47.1%,"1,788",-957,"$1,655","$58,698,209",-,4
11,28,Swiss Army Man,A24,"$1,414,751","+1,241.6%",636,+633,"$2,224","$1,569,039",-,2
12,N,Our Kind of Traitor,RAtt.,"$984,698",-,373,-,"$2,640","$984,698",-,1
13,8,X-Men: Apocalypse,Fox,"$905,638",-63.6%,630,"-1,049","$1,438","$153,503,093",$178,6
14,11,Me Before You,WB (NL),"$820,753",-57.6%,523,"-1,015","$1,569","$53,707,548",$20,5
15,13,Captain America: Civil War,BV,"$770,579",-43.7%,367,-386,"$2,100","$405,418,967",$250,9
16,9,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$767,320",-68.9%,719,"-1,228","$1,067","$79,514,822",$135,5
17,14,The Jungle Book (2016),BV,"$643,045",-48.9%,294,-184,"$2,187","$359,477,643",$175,12
18,10,Warcraft,Uni.,"$509,730",-77.3%,411,"-1,541","$1,240","$45,798,655",$160,4
19,16,Love & Friendship,RAtt.,"$405,688",-13.4%,185,-96,"$2,193","$12,551,012",-,8
20,12,Alice Through the Looking Glass,BV,"$394,733",-78.7%,192,-303,"$2,056","$75,675,062",$170,6
21,17,The Angry Birds Movie,Sony,"$314,576",-30.9%,278,-165,"$1,132","$105,682,190",$73,7
22,18,The Lobster (US Release),A24,"$311,747",-22.8%,151,-59,"$2,065","$7,554,886",-,8
23,19,The Nice Guys,WB,"$294,500",-26.4%,264,-27,"$1,116","$35,512,447",$50,7
24,20,Maggie's Plan,SPC,"$232,690",-15.1%,158,-45,"$1,473","$2,622,996",-,7
25,22,WARx2,WARX2,"$221,963",-9.6%,16,-,"$13,873","$2,310,625",-,27
26,26,A Beautiful Planet,Imax,"$169,671",+42.1%,36,+1,"$4,713","$3,023,615",-,10
27,21,Zootopia,BV,"$167,968",-38.2%,191,-42,$879,"$340,719,787",-,18
28,33,Hunt for the Wilderpeople,Orch.,"$143,034",+82.4%,23,+18,"$6,219","$255,687",-,2
29,15,The Neon Demon,BG,"$137,104",-76.7%,185,-598,$741,"$1,098,797",-,2
30,23,Genius,RAtt.,"$120,513",-43.7%,98,-54,"$1,230","$1,043,561",-,4
31,27,Money Monster,TriS,"$119,271",+10.8%,172,+41,$693,"$40,720,343",$27,8
32,24,Neighbors 2: Sorority Rising,Uni.,"$113,190",-26.6%,189,-,$599,"$55,133,710",-,7
33,30,The Music of Strangers,Orch.,"$109,344",+13.7%,61,+18,"$1,793","$347,402",-,4
34,31,Dark Horse (2016),SPC,"$88,521",-0.1%,67,-7,"$1,321","$633,172",-,9
35,29,Weiner,IFC,"$87,910",-15.2%,67,-21,"$1,312","$1,370,059",-,7
36,44,Wiener-Dog,IFC,"$87,861",+261.4%,35,+33,"$2,510","$128,756",-,2
37,32,The Man Who Knew Infinity,IFC,"$64,091",-21.6%,61,-5,"$1,051","$3,661,394",-,10
38,N,No One's Life Is Easy: So I Married an Anti-Fan,CL,"$58,767",-,22,-,"$2,671","$58,767",-,1
39,35,Tickled,Magn.,"$55,898",-0.7%,25,+7,"$2,236","$187,961",-,3
