TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Suicide Squad,WB,"$20,855,401",-52.1%,"3,924",-331,"$5,315","$262,428,736",$175,3
2,2,Sausage Party,Sony,"$15,485,577",-54.8%,"3,103",-,"$4,991","$65,486,596",$19,2
3,N,War Dogs,WB,"$14,685,305",-,"3,258",-,"$4,507","$14,685,305",-,1
4,N,Kubo and the Two Strings,Focus,"$12,608,372",-,"3,260",-,"$3,868","$12,608,372",$60,1
5,3,Pete's Dragon (2016),BV,"$11,349,938",-47.2%,"3,702",-,"$3,066","$42,911,207",$65,2
6,N,Ben-Hur (2016),Par.,"$11,203,815",-,"3,084",-,"$3,633","$11,203,815",$100,1
7,4,Jason Bourne,Uni.,"$8,016,895",-42.1%,"2,887",-641,"$2,777","$140,920,180",$120,4
8,5,Bad Moms,STX,"$7,946,885",-30.1%,"2,811",-377,"$2,827","$85,679,313",$20,4
9,6,The Secret Life of Pets,Uni.,"$5,880,500",-35.1%,"2,404",-554,"$2,446","$346,832,530",$75,7
10,8,Florence Foster Jenkins,Par.,"$4,384,511",-33.6%,"1,528",-,"$2,869","$14,490,254",$29,2
11,7,Star Trek Beyond,Par.,"$3,946,356",-42.7%,"1,966",-611,"$2,007","$146,877,726",$185,5
12,20,Hell or High Water,LGF,"$2,692,811",+333.4%,472,+440,"$5,705","$3,570,498",$12,2
13,10,Lights Out,WB (NL),"$1,601,441",-50.2%,942,-710,"$1,700","$64,221,817",$4.9,5
14,9,Nine Lives (2016),EC,"$1,402,556",-60.2%,"1,364",-900,"$1,028","$17,056,580",$30,3
15,11,Nerve,LGF,"$1,191,949",-54.8%,859,-918,"$1,388","$35,795,014",$19,4
16,12,Ghostbusters (2016),Sony,"$1,072,638",-52.8%,788,-649,"$1,361","$123,933,072",$144,6
17,14,Finding Dory,BV,"$907,012",-30.9%,450,-181,"$2,016","$478,436,176",-,10
18,13,Ice Age: Collision Course,Fox,"$905,479",-55.9%,782,-766,"$1,158","$60,833,769",$105,5
19,15,Anthropoid,BST,"$560,488",-54.6%,441,-11,"$1,271","$2,345,025",-,2
20,18,Indignation,RAtt.,"$519,413",-31.5%,317,+50,"$1,639","$2,336,817",-,4
21,16,Cafe Society,LGF,"$499,208",-46.8%,271,-184,"$1,842","$9,410,873",-,6
22,23,Don't Think Twice,TFA,"$382,500",+4.8%,100,+30,"$3,825","$1,753,975",-,5
23,22,The Legend of Tarzan,WB,"$381,894",+3.1%,338,+5,"$1,130","$125,440,608",$180,8
24,27,The BFG,BV,"$359,607",+31.3%,207,+14,"$1,737","$53,864,088",$140,8
25,21,Central Intelligence,WB (NL),"$270,320",-34.1%,256,-39,"$1,056","$127,103,300",$50,10
26,24,Captain Fantastic,BST,"$238,207",-31.8%,153,-22,"$1,557","$4,692,462",-,7
