TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Sully,WB,"$35,028,301",-,"3,525",-,"$9,937","$35,028,301",$60,1
2,N,When the Bough Breaks,SGem,"$14,202,323",-,"2,246",-,"$6,323","$14,202,323",$10,1
3,1,Don't Breathe,SGem,"$8,250,225",-47.9%,"3,384",+333,"$2,438","$66,873,383",$9.9,3
4,2,Suicide Squad,WB,"$5,723,038",-42.3%,"3,103",-189,"$1,844","$307,480,891",$175,6
5,N,The Wild Life (2016),LG/S,"$3,342,696",-,"2,493",-,"$1,341","$3,342,697",-,1
6,3,Kubo and the Two Strings,Focus,"$3,301,748",-48.2%,"2,335",-650,"$1,414","$40,919,428",$60,4
7,4,Pete's Dragon (2016),BV,"$3,101,390",-51.2%,"2,685",-587,"$1,155","$70,150,043",$65,5
8,7,Bad Moms,STX,"$2,593,665",-45.6%,"1,888",-418,"$1,374","$107,289,931",$20,7
9,9,Hell or High Water,LGF,"$2,461,321",-44.6%,"1,445",+142,"$1,703","$19,685,055",$12,5
10,5,Sausage Party,Sony,"$2,342,003",-54.9%,"2,071",-695,"$1,131","$93,224,582",$19,5
11,12,No Manches Frida,PNT,"$2,113,497",-42.5%,465,+103,"$4,545","$7,332,279",-,2
12,6,War Dogs,WB,"$2,027,498",-57.9%,"1,781","-1,067","$1,138","$39,802,216",-,4
13,8,The Light Between Oceans,BV,"$1,849,477",-61.2%,"1,500",-,"$1,233","$9,460,503",$20,2
14,11,Jason Bourne,Uni.,"$1,746,625",-55.9%,"1,510",-466,"$1,157","$158,727,915",$120,7
15,10,Mechanic: Resurrection,LG/S,"$1,714,690",-61.4%,"1,901",-357,$902,"$18,660,951",-,3
16,13,The Secret Life of Pets,Uni.,"$1,542,755",-56.4%,"1,410",-659,"$1,094","$361,840,530",$75,10
17,N,The Disappointments Room,Rela.,"$1,402,823",-,"1,554",-,$903,"$1,402,823",$15,1
18,14,Star Trek Beyond,Par.,"$932,417",-62.4%,748,-454,"$1,247","$156,578,044",$185,8
19,16,Florence Foster Jenkins,Par.,"$853,653",-59.5%,"1,062",-279,$804,"$25,723,456",$29,5
20,N,Baar Baar Dekho,Eros,"$612,363",-,146,-,"$4,194","$614,604",-,1
21,15,Ben-Hur (2016),Par.,"$571,787",-74.0%,974,"-1,193",$587,"$25,573,081",$100,4
22,18,Morgan,Fox,"$504,908",-74.9%,"2,020",-,$250,"$3,598,379",$8,2
23,17,Finding Dory,BV,"$419,113",-79.6%,490,"-1,585",$855,"$483,550,190",-,13
24,24,Lights Out,WB (NL),"$313,413",-44.4%,348,-98,$901,"$66,764,106",$4.9,8
25,19,Southside with You,RAtt.,"$302,424",-77.2%,444,-453,$681,"$5,989,698",-,3
