TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Boo! A Madea Halloween,LGF,"$17,220,312",-39.6%,"2,299",+39,"$7,490","$52,564,655",$20,2
2,N,Inferno,Sony,"$14,860,425",-,"3,576",-,"$4,156","$14,860,425",$75,1
3,2,Jack Reacher: Never Go Back,Par.,"$9,640,747",-57.9%,"3,780",-,"$2,550","$39,769,924",$60,2
4,4,The Accountant,WB,"$8,481,052",-37.8%,"3,402",+70,"$2,493","$61,263,224",$44,3
5,3,Ouija: Origin of Evil,Uni.,"$7,110,185",-49.4%,"3,168",+1,"$2,244","$24,678,810",$9,2
6,5,The Girl on the Train (2016),Uni.,"$4,387,015",-38.8%,"2,758",-333,"$1,591","$66,035,495",$45,4
7,6,Miss Peregrine's Home for Peculiar Children,Fox,"$4,073,674",-30.9%,"2,797",-336,"$1,456","$79,977,854",$110,5
8,7,Keeping Up with the Joneses,Fox,"$3,390,107",-37.9%,"3,022",-,"$1,122","$10,794,420",$40,2
9,9,Storks,WB,"$2,851,140",-28.8%,"1,901",-244,"$1,500","$68,310,752",$70,6
10,N,Ae Dil Hai Mushkil,FIP,"$2,190,042",-,302,-,"$7,252","$2,191,280",-,1
11,10,Deepwater Horizon,LG/S,"$2,094,121",-38.4%,"2,054",-774,"$1,020","$58,354,366",$110,5
12,8,Kevin Hart: What Now?,Uni.,"$1,713,200",-58.4%,"1,656",-911,"$1,035","$21,941,755",$9.9,3
13,11,The Magnificent Seven (2016),Sony,"$1,338,477",-41.4%,"1,330",-649,"$1,006","$91,224,003",$90,6
14,12,Middle School: The Worst Years of My Life,LGF,"$1,262,430",-42.1%,"1,295",-477,$975,"$18,487,501",$8.5,4
15,13,Sully,WB,"$932,251",-37.5%,855,-317,"$1,090","$122,350,216",$60,8
16,19,Moonlight (2016),A24,"$850,114",+111.4%,36,+32,"$23,614","$1,420,907",$4,2
17,14,Denial,BST,"$624,607",-34.5%,587,-61,"$1,064","$3,008,212",-,5
18,16,The Birth of a Nation,FoxS,"$557,021",-38.7%,404,-229,"$1,379","$15,084,172",$8.5,4
19,15,I'm Not Ashamed,PFR,"$450,982",-51.4%,516,+11,$874,"$1,638,966",-,2
