TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Kingsman: The Golden Circle,Fox,"$16,935,565",-56.6%,"4,038",+35,"$4,194","$66,637,153",$104,2
2,2,It,WB (NL),"$16,902,442",-43.2%,"3,917",-90,"$4,315","$290,775,232",$35,4
3,N,American Made,Uni.,"$16,776,390",-,"3,024",-,"$5,548","$16,776,390",$50,1
4,3,The LEGO Ninjago Movie,WB,"$11,644,237",-43.0%,"4,047",-,"$2,877","$35,200,302",-,2
5,N,Flatliners (2017),Sony,"$6,574,326",-,"2,552",-,"$2,576","$6,574,326",$19,1
6,16,Battle of the Sexes,FoxS,"$3,408,594",+557.6%,"1,213","+1,192","$2,810","$4,085,327",-,2
7,4,American Assassin,LGF,"$3,315,644",-47.0%,"3,020",-134,"$1,098","$31,864,225",$33,3
8,6,Home Again,ORF,"$1,726,563",-46.6%,"2,370",-315,$729,"$25,152,128",$12,4
9,N,Til Death Do Us Part,NN,"$1,527,289",-,562,-,"$2,718","$1,527,289",-,1
10,5,mother!,Par.,"$1,449,378",-56.0%,"1,840",-528,$788,"$16,310,224",$30,3
11,26,Victoria and Abdul,Focus,"$1,092,204",+587.6%,77,+73,"$14,184","$1,312,549",-,2
12,N,A Question Of Faith,PFR,"$1,025,489",-,661,-,"$1,551","$1,025,489",-,1
13,8,Stronger,RAtt.,"$923,412",-42.7%,645,+72,"$1,432","$3,165,489",-,2
14,7,Friend Request,ENTMP,"$728,065",-63.6%,"2,081",-492,$350,"$3,411,022",$9.9,2
15,9,The Hitman's Bodyguard,LG/S,"$679,375",-57.8%,"1,119",-918,$607,"$74,624,503",$30,7
16,N,Judwaa 2,FIP,"$638,045",-,192,-,"$3,323","$638,045",-,1
17,10,Wind River,Wein.,"$597,048",-52.5%,892,-539,$669,"$32,786,407",$11,9
18,11,Spider-Man: Homecoming,Sony,"$588,932",-44.6%,679,-327,$867,"$332,707,249",$175,13
