TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Thor: Ragnarok,BV,"$57,078,306",-53.5%,"4,080",-,"$13,990","$212,068,013",$180,2
2,N,Daddy's Home 2,Par.,"$29,651,193",-,"3,575",-,"$8,294","$29,651,193",$69,1
3,N,Murder on the Orient Express (2017),Fox,"$28,681,472",-,"3,341",-,"$8,585","$28,681,472",$55,1
4,2,A Bad Moms Christmas,STX,"$11,468,964",-31.6%,"3,587",-28,"$3,197","$39,832,590",$28,2
5,3,Jigsaw,LGF,"$3,424,319",-47.8%,"2,651",-290,"$1,292","$34,358,412",$10,3
6,4,Tyler Perry's Boo 2! A Madea Halloween,LGF,"$2,001,108",-55.9%,"1,900",-302,"$1,053","$45,851,571",$25,4
7,5,Geostorm,WB,"$1,641,680",-48.6%,"1,685",-981,$974,"$31,720,572",$120,4
8,7,Blade Runner 2049,WB,"$1,460,463",-37.1%,863,-601,"$1,692","$88,051,760",$150,6
9,6,Happy Death Day,Uni.,"$1,266,440",-53.1%,"1,564",-620,$810,"$54,908,045",$4.8,5
10,26,Lady Bird,A24,"$1,199,748",+229.2%,37,+33,"$32,426","$1,731,828",-,2
11,10,Let there be Light,ADC,"$1,114,560",-34.3%,774,+132,"$1,440","$5,939,454",-,3
12,9,Only The Brave,Sony,"$936,889",-51.2%,"1,207",-866,$776,"$17,060,805",$38,4
13,8,Thank You for Your Service (2017),Uni.,"$853,295",-61.4%,"1,348",-735,$633,"$9,063,685",$20,3
14,18,The LEGO Ninjago Movie,WB,"$801,680",+1.1%,771,-64,"$1,040","$58,524,340",-,8
15,11,The Foreigner,STX,"$781,257",-51.1%,737,-719,"$1,060","$33,474,379",$35,5
16,12,Victoria and Abdul,Focus,"$677,906",-43.8%,637,-159,"$1,064","$21,140,610",-,8
17,N,TCM Presents Casablanca 75th Anniversary,Fathom,"$596,068",-,725,-,$822,"$596,068",-,1
18,19,The Florida Project,A24,"$540,508",-14.7%,229,+40,"$2,360","$3,800,385",-,6
19,21,Loving Vincent,Good Deed,"$512,194",-14.8%,212,+7,"$2,416","$3,931,068",-,8
20,20,My Little Pony: The Movie,LGF,"$508,815",-15.6%,592,-193,$859,"$21,520,056",-,6
21,14,LBJ,Electric,"$486,285",-56.2%,608,-51,$800,"$2,062,231",-,2
22,25,The Killing of a Sacred Deer,A24,"$460,897",+17.3%,238,+152,"$1,937","$1,544,076",-,4
23,17,American Made,Uni.,"$448,800",-43.9%,419,-244,"$1,071","$50,751,695",$50,7
24,15,It,WB (NL),"$443,349",-55.7%,578,-503,$767,"$326,628,183",$35,10
25,16,Kingsman: The Golden Circle,Fox,"$418,333",-48.9%,421,-381,$994,"$99,409,741",$104,8
26,22,Marshall,ORF,"$412,217",-18.2%,601,+87,$686,"$8,456,575",$12,5
27,-,Pokemon the Movie: I Choose You!,Fathom,"$366,750",-,789,-,$465,"$2,110,623",-,2
28,N,"Three Billboards Outside Ebbing, Missouri",FoxS,"$322,168",-,4,-,"$80,542","$322,168",-,1
29,23,The Mountain Between Us,Fox,"$289,667",-39.7%,403,-313,$719,"$29,465,588",$35,6
30,29,Wonderstruck,RAtt.,"$246,947",+6.6%,261,+140,$946,"$826,989",-,4
31,30,Jane (2017),Abr.,"$229,502",+3.6%,96,+41,"$2,391","$825,659",-,4
32,31,Despicable Me 3,Uni.,"$208,350",-2.7%,195,+1,"$1,068","$264,037,605",$80,20
33,49,My Friend Dahmer,FR,"$188,034",+429.0%,45,+41,"$4,179","$241,241",-,2
