TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Justice League,WB,"$93,842,239",-,"4,051",-,"$23,165","$93,842,239",-,1
2,N,Wonder,LGF,"$27,547,866",-,"3,096",-,"$8,898","$27,547,866",-,1
3,1,Thor: Ragnarok,BV,"$21,669,600",-62.0%,"4,080",-,"$5,311","$247,265,770",$180,3
4,2,Daddy's Home 2,Par.,"$14,435,710",-51.3%,"3,575",-,"$4,038","$50,212,157",$69,2
5,3,Murder on the Orient Express (2017),Fox,"$13,807,562",-51.9%,"3,354",+13,"$4,117","$51,735,924",$55,2
6,N,The Star,Sony,"$9,812,674",-,"2,837",-,"$3,459","$9,812,674",$20,1
7,4,A Bad Moms Christmas,STX,"$7,000,378",-39.0%,"2,948",-639,"$2,375","$51,022,533",$28,3
8,10,Lady Bird,A24,"$2,516,399",+109.7%,238,+201,"$10,573","$4,688,874",-,3
9,28,"Three Billboards Outside Ebbing, Missouri",FoxS,"$1,102,166",+242.1%,53,+49,"$20,796","$1,536,391",-,2
10,5,Jigsaw,LGF,"$1,081,772",-68.4%,"1,201","-1,450",$901,"$36,462,005",$10,4
11,8,Blade Runner 2049,WB,"$626,039",-57.1%,466,-397,"$1,343","$89,276,502",$150,7
12,6,Tyler Perry's Boo 2! A Madea Halloween,LGF,"$471,319",-76.4%,718,"-1,182",$656,"$46,649,659",$25,5
13,7,Geostorm,WB,"$410,166",-75.0%,502,"-1,183",$817,"$32,669,328",$120,5
14,19,Loving Vincent,Good Deed,"$403,603",-21.2%,212,-,"$1,904","$4,641,218",-,9
15,11,Let there be Light,ADC,"$362,598",-67.5%,554,-220,$655,"$6,738,588",-,4
16,18,The Florida Project,A24,"$299,566",-44.6%,217,-12,"$1,380","$4,306,658",-,7
17,14,The LEGO Ninjago Movie,WB,"$255,248",-68.2%,455,-316,$561,"$58,938,889",-,9
18,12,Only The Brave,Sony,"$242,406",-74.1%,363,-844,$668,"$17,655,285",$38,5
19,9,Happy Death Day,Uni.,"$224,815",-82.2%,427,"-1,137",$526,"$55,398,005",$4.8,6
20,16,Victoria and Abdul,Focus,"$217,105",-68.0%,257,-380,$845,"$21,667,320",-,9
21,15,The Foreigner,STX,"$194,691",-75.1%,250,-487,$779,"$33,964,179",$35,6
22,22,The Killing of a Sacred Deer,A24,"$188,102",-59.2%,190,-48,$990,"$1,955,883",-,5
23,25,Kingsman: The Golden Circle,Fox,"$178,305",-57.4%,271,-150,$658,"$99,733,121",$104,9
24,33,My Friend Dahmer,FR,"$162,799",-13.4%,75,+30,"$2,171","$483,474",-,3
25,23,American Made,Uni.,"$154,390",-65.6%,222,-197,$695,"$51,071,805",$50,8
26,24,It,WB (NL),"$150,107",-66.1%,232,-346,$647,"$326,898,358",$35,11
27,26,Marshall,ORF,"$137,622",-66.6%,275,-326,$500,"$8,760,472",$12,6
28,20,My Little Pony: The Movie,LGF,"$128,709",-74.7%,299,-293,$430,"$21,732,671",-,7
29,32,Despicable Me 3,Uni.,"$125,020",-40.0%,172,-23,$727,"$264,194,540",$80,21
30,36,Last Flag Flying,LGF,"$122,213",-29.6%,59,+27,"$2,071","$411,864",-,3
31,31,Jane (2017),Abr.,"$119,560",-47.9%,84,-12,"$1,423","$1,017,682",-,5
32,29,The Mountain Between Us,Fox,"$113,584",-60.8%,237,-166,$479,"$29,669,726",$35,7
33,37,The Square,Magn.,"$109,757",-27.8%,63,+12,"$1,742","$632,947",-,4
34,13,Thank You for Your Service (2017),Uni.,"$95,515",-88.8%,268,"-1,080",$356,"$9,437,885",$20,4
35,21,LBJ,Electric,"$90,564",-81.4%,135,-473,$671,"$2,359,952",-,3
36,45,Novitiate,SPC,"$63,420",+19.7%,61,+32,"$1,040","$254,276",-,4
37,N,"Roman J. Israel, Esq.",Sony,"$61,999",-,4,-,"$15,500","$61,999",$22,1
38,30,Wonderstruck,RAtt.,"$56,739",-77.0%,119,-142,$477,"$977,462",-,5
39,39,Leap!,Wein.,"$46,031",-44.1%,100,-10,$460,"$21,797,758",-,13
40,34,Same Kind of Different as Me,PFR,"$44,464",-75.8%,102,-194,$436,"$6,277,199",-,5
41,35,Goodbye Christopher Robin,FoxS,"$42,777",-76.6%,78,-118,$548,"$1,659,463",-,6
42,43,A Question Of Faith,PFR,"$40,474",-38.9%,28,-2,"$1,446","$2,507,723",-,8
43,40,The Emoji Movie,Sony,"$35,648",-54.5%,101,-23,$353,"$86,053,485",$50,17
44,38,Battle of the Sexes,FoxS,"$35,321",-64.7%,46,-57,$768,"$12,552,907",-,9
45,47,God's Own Country,Orion,"$33,783",+4.0%,11,+4,"$3,071","$157,619",-,4
46,44,Spider-Man: Homecoming,Sony,"$28,867",-50.9%,77,-40,$375,"$334,166,825",$175,20
47,53,A Beautiful Planet,Imax,"$24,729",+14.2%,15,+3,"$1,649","$12,635,601",-,82
48,48,Faces Places,Cohen,"$23,908",-25.5%,12,-8,"$1,992","$467,914",-,7
49,51,Human Flow,Magn.,"$18,155",-30.5%,21,-2,$865,"$446,438",-,6
50,50,Lucky (2017),Magn.,"$18,040",-41.3%,28,-20,$644,"$925,118",-,8
51,N,The Breadwinner,GK,"$17,395",-,3,-,"$5,798","$17,395",-,1
52,56,1945,Men.,"$15,952",-14.7%,3,+1,"$5,317","$80,947",-,3
53,49,Wind River,Wein.,"$13,360",-58.1%,40,-46,$334,"$33,782,714",$11,16
54,41,Dunkirk,WB,"$13,289",-81.6%,28,-37,$475,"$188,042,171",$100,18
55,N,Paradise (2017) [Canada],CARUSEL,"$11,845",-,4,-,"$2,961","$11,845",-,1
56,52,Flatliners (2017),Sony,"$11,027",-55.9%,33,-34,$334,"$16,877,430",$19,8
57,N,The Crime of Monsieur Lange (2017 re-release),Rialto,"$9,633",-,1,-,"$9,633","$9,633",-,1
58,-,California Typewriter,Grav.,"$9,601",-,10,-,$960,"$218,563",-,12
59,64,Thelma,Orch.,"$8,523",-21.4%,3,+2,"$2,841","$24,729",-,2
60,62,Stronger,RAtt.,"$8,183",-39.2%,14,-7,$585,"$4,201,625",-,9
61,63,BPM (Beats Per Minute),Orch.,"$8,064",-28.1%,20,-,$403,"$73,192",-,5
62,N,On the Beach at Night Alone,CGld,"$7,594",-,1,-,"$7,594","$7,594",-,1
63,59,War for the Planet of the Apes,Fox,"$7,490",-53.5%,20,-10,$375,"$146,872,826",$150,19
64,55,Blade of the Immortal,Magn.,"$6,930",-65.0%,12,-16,$578,"$117,545",-,3
65,58,The Stray,Purd.,"$6,594",-62.3%,19,-15,$347,"$1,564,482",-,7
66,81,Bad Grandmas,PDF,"$5,910",+42.8%,6,+2,$985,"$14,450",-,3
67,68,Island of Lemurs: Madagascar (IMAX),WB,"$5,746",-31.3%,2,-,"$2,873","$10,987,063",-,190
68,60,Tom of Finland,KL,"$5,527",-64.8%,5,-6,"$1,105","$180,532",-,6
69,N,Sweet Virginia,IFC,"$5,183",-,1,-,"$5,183","$5,183",-,1
70,57,Breathe (2017),BST,"$4,897",-73.4%,19,-13,$258,"$475,685",-,6
71,N,Big Sonia,Argo.,"$4,398",-,1,-,"$4,398","$4,398",-,1
72,73,Walk With Me,Gathr,"$4,224",-28.6%,13,-14,$325,"$601,298",-,15
73,69,All the Queen's Horses,Argo.,"$4,188",-36.3%,1,-,"$4,188","$13,709",-,2
74,65,Mark Felt: The Man Who Brought Down the White House,SPC,"$4,006",-59.8%,4,-12,"$1,002","$766,428",-,8
75,91,Rumble: The Indians Who Rocked The World,KL,"$4,001",+56.3%,3,+2,"$1,334","$222,370",-,27
76,N,Rebels on Pointe,Icar.,"$3,270",-,2,-,"$1,635","$4,809",-,1
77,N,Song of Granite,Osci.,"$3,096",-,1,-,"$3,096","$4,230",-,1
78,80,Hubble 3D,WB,"$3,037",-27.7%,3,+1,"$1,012","$51,917,116",-,401
79,76,Professor Marston & the Wonder Women,Annapurna,"$2,759",-43.0%,10,-1,$276,"$1,583,641",-,6
80,82,Dealt,IFC,"$2,613",-24.6%,10,+2,$261,"$30,414",-,5
81,N,Porto,KL,"$2,090",-,1,-,"$2,090","$6,347",-,1
