TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Coco,BV,"$18,452,315",-33.0%,"3,748",-239,"$4,923","$135,658,005",-,3
2,2,Justice League,WB,"$9,664,297",-42.0%,"3,508",-312,"$2,755","$212,129,668",-,4
3,3,Wonder,LGF,"$8,447,762",-30.5%,"3,519",+70,"$2,401","$100,300,868",-,4
4,12,The Disaster Artist,A24,"$6,366,242",+425.6%,840,+821,"$7,579","$7,963,017",-,2
5,4,Thor: Ragnarok,BV,"$6,271,374",-36.6%,"3,047",-101,"$2,058","$301,136,438",$180,6
6,5,Daddy's Home 2,Par.,"$5,919,337",-21.8%,"3,263",-140,"$1,814","$91,078,796",$69,5
7,6,Murder on the Orient Express (2017),Fox,"$5,162,331",-23.7%,"3,089",-112,"$1,671","$92,769,846",$55,5
8,9,The Star,Sony,"$3,707,087",-9.1%,"2,976",+154,"$1,246","$32,311,133",$20,4
9,8,Lady Bird,A24,"$3,451,822",-19.6%,"1,557",+363,"$2,217","$22,235,491",-,6
10,N,Just Getting Started,BG,"$3,201,459",-,"2,161",-,"$1,481","$3,201,459",$22,1
11,7,"Three Billboards Outside Ebbing, Missouri",FoxS,"$2,862,109",-34.9%,"1,620",+190,"$1,767","$18,312,393",-,5
12,10,A Bad Moms Christmas,STX,"$2,581,446",-23.7%,"2,124",-127,"$1,215","$68,702,052",$28,6
13,20,The Shape of Water,FoxS,"$1,141,546",+585.3%,41,+39,"$27,843","$1,372,554",-,2
14,11,"Roman J. Israel, Esq.",Sony,"$871,624",-55.5%,"1,453",-216,$600,"$11,209,149",$22,4
15,27,Darkest Hour,Focus,"$741,417",+584.1%,53,+49,"$13,989","$1,196,325",-,3
16,13,The Man Who Invented Christmas,BST,"$716,242",-19.1%,720,+46,$995,"$4,356,093",-,3
17,16,Call Me by Your Name,SPC,"$285,850",-3.3%,9,+5,"$31,761","$1,367,155",-,3
18,21,The Polar Express (2017 re-release),WB,"$270,885",+94.3%,-,-,n/a,"$550,683",-,4
19,15,Blade Runner 2049,WB,"$264,527",-34.1%,388,-46,$682,"$91,252,390",$150,10
20,N,"I, Tonya",Neon,"$264,155",-,4,-,"$66,039","$264,155",-,1
21,38,The Mountain Between Us,Fox,"$244,829",+325.0%,535,+368,$458,"$30,191,120",$35,10
22,18,Jigsaw,LGF,"$163,101",-26.8%,257,-44,$635,"$37,848,319",$10,7
23,19,Loving Vincent,Good Deed,"$151,694",-28.8%,145,-16,"$1,046","$5,784,242",-,12
24,23,Wonder Wheel,Amazon,"$150,143",+19.6%,47,+42,"$3,195","$316,323",-,2
25,33,Geostorm,WB,"$144,193",+84.2%,206,+41,$700,"$33,246,410",$120,8
26,22,My Friend Dahmer,FR,"$129,703",-2.6%,110,+20,"$1,179","$1,132,062",-,6
27,28,Tyler Perry's Boo 2! A Madea Halloween,LGF,"$106,041",+2.2%,210,-2,$505,"$47,291,670",$25,8
28,17,Marshall,ORF,"$91,675",-63.0%,341,-310,$269,"$9,367,469",$12,9
29,25,The Florida Project,A24,"$89,518",-19.1%,101,-19,$886,"$5,016,955",-,10
30,24,Dunkirk (Re-Issue 12/1),WB,"$80,457",-34.1%,45,-8,"$1,788","$288,328",-,2
31,26,It,WB (NL),"$73,305",-33.7%,208,-23,$352,"$327,455,467",$35,14
32,14,Titanic (20th Anniversary),Par.,"$67,422",-84.6%,75,-12,$899,"$656,499",-,2
33,34,The Foreigner,STX,"$60,873",-18.8%,130,-,$468,"$34,308,308",$35,9
34,30,The Square,Magn.,"$54,776",-39.0%,57,-7,$961,"$1,050,481",-,7
35,37,Despicable Me 3,Uni.,"$49,785",-23.3%,143,-9,$348,"$264,544,665",$80,24
36,29,Last Flag Flying,LGF,"$47,590",-54.0%,85,-25,$560,"$923,556",-,6
37,32,Jane (2017),Abr.,"$46,822",-40.6%,42,-7,"$1,115","$1,327,166",-,8
38,36,Kingsman: The Golden Circle,Fox,"$46,757",-30.4%,136,-27,$344,"$100,130,193",$104,12
39,39,Only The Brave,Sony,"$45,494",-16.3%,100,-16,$455,"$18,020,827",$38,8
40,35,Victoria and Abdul,Focus,"$45,445",-35.0%,104,-27,$437,"$22,129,925",-,12
41,31,The Swindlers,WGUSA,"$43,063",-48.0%,19,-8,"$2,266","$174,874",-,2
42,44,American Made,Uni.,"$32,295",-20.7%,73,-20,$442,"$51,326,700",$50,11
43,52,The Other Side of Hope,Jan.,"$31,932",+106.1%,10,+7,"$3,193","$56,708",-,2
44,45,Happy Death Day,Uni.,"$31,525",-22.0%,88,-12,$358,"$55,672,805",$4.8,9
45,59,Tom of Finland,KL,"$28,746",+246.1%,12,+7,"$2,396","$259,879",-,9
46,51,Faces Places,Cohen,"$27,163",+59.4%,16,-,"$1,698","$541,902",-,10
47,40,Novitiate,SPC,"$23,738",-54.1%,90,-73,$264,"$530,906",-,7
48,46,The Killing of a Sacred Deer,A24,"$22,106",-42.8%,41,-,$539,"$2,240,172",-,8
49,43,The Breadwinner,GK,"$21,271",-48.1%,38,-5,$560,"$158,286",-,4
50,48,1945,Men.,"$20,089",-26.3%,13,+2,"$1,545","$182,367",-,6
51,60,BOMBSHELL: The Hedy Lamarr Story,Zeit.,"$18,332",+129.2%,2,+1,"$9,166","$71,480",-,3
52,49,Thelma,Orch.,"$16,774",-30.6%,39,+3,$430,"$107,470",-,5
53,-,Big Sonia,Argo.,"$16,467",-,3,-,"$5,489","$53,569",-,4
54,47,God's Own Country,Orion,"$13,851",-50.2%,11,-2,"$1,259","$281,471",-,7
55,55,A Beautiful Planet,Imax,"$13,730",-0.1%,13,-3,"$1,056","$12,769,839",-,85
56,57,Battle of the Sexes,FoxS,"$8,383",-30.0%,20,-7,$419,"$12,626,314",-,12
57,62,Goodbye Christopher Robin,FoxS,"$7,288",-3.5%,19,-3,$384,"$1,721,762",-,9
58,50,Explosion,CL,"$7,071",-68.9%,6,-28,"$1,179","$118,384",-,3
59,65,Quest (2017),FRun,"$6,588",-,2,+1,"$3,294","$17,982",-,2
60,56,LBJ,Electric,"$6,527",-50.1%,13,-13,$502,"$2,458,579",-,6
61,64,Naples '44,FRun,"$5,380",-18.9%,2,+1,"$2,690","$20,263",-,2
62,54,Human Flow,Magn.,"$5,018",-63.7%,8,-8,$627,"$508,251",-,9
63,53,Same Kind of Different as Me,PFR,"$4,718",-67.8%,20,-10,$236,"$6,352,920",-,8
64,42,Let there be Light,ADC,"$4,608",-89.3%,96,-25,$48,"$7,173,682",-,7
65,69,Walk With Me,Gathr,"$4,092",-19.8%,10,-9,$409,"$658,482",-,18
66,83,Island of Lemurs: Madagascar (IMAX),WB,"$4,084",+75.3%,4,+1,"$1,021","$11,017,236",-,193
67,75,Aida's Secrets,MBox,"$3,623",-0.4%,5,+2,$725,"$86,315",-,8
68,76,Painted Woman,Amor,"$3,417",+2.1%,4,+1,$854,"$8,759",-,5
69,66,Blade of the Immortal,Magn.,"$3,322",-44.6%,4,-3,$831,"$149,242",-,6
70,78,Hubble 3D,WB,"$3,127",+13.4%,3,+1,"$1,042","$51,941,837",-,404
71,71,Wonderstruck,RAtt.,"$3,113",-28.6%,15,-7,$208,"$1,033,632",-,8
72,68,Brotherhood of Blades 2: The Infernal Battlefield,WGUSA,"$2,679",-49.4%,1,-1,"$2,679","$11,316",-,2
73,70,Lucky (2017),Magn.,"$2,619",-39.9%,7,-2,$374,"$953,336",-,11
74,-,The Divine Order,Zeit.,"$2,615",-,5,-,$523,"$43,188",-,7
75,86,Under the Sea 3D,WB,"$2,533",+40.2%,5,-,$507,"$35,660,951",-,461
76,58,A Question Of Faith,PFR,"$2,436",-76.7%,4,-14,$609,"$2,586,579",-,11
77,73,Shadowman,FM,"$2,408",-41.5%,4,+3,$602,"$8,779",-,2
78,80,BPM (Beats Per Minute),Orch.,"$2,299",-10.7%,4,-9,$575,"$85,648",-,8
79,87,The Stray,Purd.,"$2,167",+36.3%,6,-,$361,"$1,578,321",-,10
80,98,Tribes of Palos Verdes,IFC,"$1,897",+138.3%,4,+3,$474,"$3,484",-,2
81,79,Breathe (2017),BST,"$1,856",-31.1%,4,+2,$464,"$489,357",-,9
82,67,Another WolfCop,PDF,"$1,345",-77.2%,3,-3,$448,"$7,285",-,2
83,-,Galapagos (IMAX),Imax,"$1,294",-,1,-,"$1,294","$18,583,744",-,857
84,-,Company Town,FRun,"$1,196",-,1,-,"$1,196","$4,210",-,3
85,95,Chavela,MBox,"$1,183",-1.6%,2,-,$592,"$140,683",-,10
86,-,Bad Grandmas,PDF,"$1,038",-,1,-,"$1,038","$17,688",-,6
87,94,Paradise (2017) [Canada],CARUSEL,$841,-35.2%,3,-2,$280,"$24,749",-,4
88,-,Kedi,Osci.,$785,-,1,-,$785,"$2,835,047",-,38
89,-,4 Days in France,CGld,$653,-,1,-,$653,"$12,231",-,17
90,-,The Fencer,CFI,$637,-,1,-,$637,"$92,179",-,19
91,93,Brimstone and Glory,Osci.,$535,-61.1%,3,-4,$178,"$28,558",-,7
92,91,On the Beach at Night Alone,CGld,$492,-67.4%,1,-2,$492,"$27,338",-,4
93,105,Rebels on Pointe,Icar.,$486,+6.1%,1,-,$486,"$11,186",-,4
94,84,Song of Granite,Osci.,$480,-77.9%,1,-,$480,"$12,888",-,4
96,107,Journey to the South Pacific,Imax,$401,+226.0%,1,-,$401,"$7,616,590",-,211
95,99,Tragedy Girls,G&S,$401,-46.7%,3,-,$134,"$61,426",-,8
97,106,Felicite,Strand,$377,+125.7%,2,+1,$189,"$7,413",-,7
98,88,Kepler's Dream,INDEP,$256,-83.8%,11,-,$23,"$2,761",-,2
99,90,Born to Be Wild (IMAX),WB,$202,-86.8%,7,+1,$29,"$25,609,057",-,349
100,-,Paradise (2017),FM,$188,-,1,-,$188,"$14,873",-,9
101,-,Rat Film,CGld,$173,-,1,-,$173,"$34,893",-,13
102,85,The Paris Opera,FM,$144,-92.2%,1,-,$144,"$49,927",-,8
103,-,The Challenge (2017),KL,$113,-,1,-,$113,"$9,705",-,12
104,110,Porto,KL,$58,+625.0%,1,-,$58,"$11,263",-,4
105,92,The Sacrifice (2017 re-release),KL,$40,-97.1%,1,-1,$40,"$16,820",-,8
