TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Ready Player One,WB,"$41,764,050",-,"4,234",-,"$9,864","$53,710,325",-,1
2,N,Tyler Perry's Acrimony,LGF,"$17,170,707",-,"2,006",-,"$8,560","$17,170,707",-,1
3,2,Black Panther,BV,"$11,486,915",-32.8%,"2,988",-382,"$3,844","$650,923,549",-,7
4,3,I Can Only Imagine,RAtt.,"$10,466,845",-23.1%,"2,648",+395,"$3,953","$55,292,182",$7,3
5,1,Pacific Rim Uprising,Uni.,"$9,370,405",-66.7%,"3,708",-,"$2,527","$45,836,225",$150,2
6,4,Sherlock Gnomes,Par.,"$7,001,570",-34.0%,"3,662",-,"$1,912","$22,822,216",$59,2
7,5,Tomb Raider,WB,"$4,922,048",-51.3%,"2,788","-1,066","$1,765","$50,715,273",$94,3
8,6,A Wrinkle in Time,BV,"$4,842,624",-41.1%,"2,367","-1,056","$2,046","$83,399,038",-,4
9,7,"Love, Simon",Fox,"$4,767,488",-37.3%,"2,024",-410,"$2,355","$32,108,320",$17,3
10,8,"Paul, Apostle of Christ",Sony,"$3,457,864",-33.2%,"1,473",-,"$2,347","$11,488,702",$5,2
11,15,Isle Of Dogs,FoxS,"$2,943,366",+81.7%,165,+138,"$17,839","$6,057,822",-,2
12,N,God's Not Dead: A Light in Darkness,PFR,"$2,689,677",-,"1,693",-,"$1,589","$2,689,677",-,1
13,9,Game Night,WB (NL),"$2,511,676",-39.2%,"1,335",-531,"$1,881","$65,041,223",$37,6
14,12,Peter Rabbit,Sony,"$2,121,583",-16.4%,"1,667",-404,"$1,273","$110,767,709",$50,8
15,10,Midnight Sun,Global Road,"$1,822,313",-54.5%,"2,128",-45,$856,"$7,671,529",-,2
16,11,Unsane,BST,"$1,450,575",-61.4%,"1,929",-94,$752,"$6,832,037",-,2
17,17,The Death of Stalin,IFC,"$1,345,315",+33.6%,484,+343,"$2,780","$3,808,896",-,4
18,13,Red Sparrow,Fox,"$718,609",-68.0%,508,-974,"$1,415","$45,679,149",$69,5
19,20,The Greatest Showman,Fox,"$700,398",+0.6%,764,+286,$917,"$172,069,900",$84,15
20,19,Jumanji: Welcome to the Jungle,Sony,"$678,717",-19.9%,783,-239,$867,"$402,769,456",$90,15
21,14,Strangers: Prey at Night,Aviron,"$668,560",-67.6%,537,-944,"$1,245","$23,582,936",-,4
22,N,Baaghi 2,FIP,"$650,722",-,123,-,"$5,290","$650,722",-,1
23,18,Annihilation,Par.,"$345,895",-61.5%,243,-235,"$1,423","$32,158,866",$40,6
24,16,Death Wish (2018),MGM,"$308,387",-74.7%,407,-897,$758,"$33,410,244",$30,5
25,24,The Leisure Seeker,SPC,"$235,872",-18.9%,155,+38,"$1,522","$1,068,778",-,9
26,26,Raid (2018),Eros,"$102,089",-55.9%,79,-,"$1,292","$1,010,385",-,3
27,25,The Shape of Water,FoxS,"$95,774",-63.4%,113,-134,$848,"$63,644,828",-,18
28,32,Ferdinand,Fox,"$79,067",-24.7%,137,-10,$577,"$84,074,567",$111,16
29,29,Coco,BV,"$74,120",-36.0%,120,-24,$618,"$209,499,991",-,19
30,34,Star Wars: The Last Jedi,BV,"$66,989",-34.3%,109,-41,$615,"$620,097,892",-,16
31,N,Finding Your Feet,RAtt.,"$60,132",-,14,-,"$4,295","$60,132",-,1
32,37,Maze Runner: The Death Cure,Fox,"$56,881",-30.9%,103,-25,$552,"$57,865,997",$62,10
33,38,The 15:17 to Paris,WB,"$54,093",-32.5%,108,-38,$501,"$36,174,973",$30,8
34,39,Foxtrot,SPC,"$52,736",-25.1%,35,+9,"$1,507","$347,394",-,5
35,36,The Post,Fox,"$52,569",-42.4%,76,-26,$692,"$81,701,380",$50,15
36,44,Leaning Into The Wind,Magn.,"$51,592",+20.3%,39,+15,"$1,323","$215,285",-,4
37,35,A Fantastic Woman,SPC,"$47,650",-50.1%,66,-55,$722,"$1,805,599",-,9
38,67,Journey's End,Good Deed,"$46,791",+227.8%,35,+26,"$1,337","$85,691",-,3
39,40,Call Me by Your Name,SPC,"$44,759",-33.3%,31,-30,"$1,444","$17,973,280",-,19
40,49,A Beautiful Planet,Imax,"$44,549",+8.5%,11,-7,"$4,050","$13,758,680",-,101
41,23,Fifty Shades Freed,Uni.,"$44,470",-85.4%,170,-339,$262,"$100,379,125",$55,8
42,28,Flower,Orch.,"$44,391",-62.5%,101,+44,$440,"$274,415",-,3
43,30,"Three Billboards Outside Ebbing, Missouri",FoxS,"$43,677",-60.5%,66,-62,$662,"$54,354,461",-,21
44,64,Back to Burgundy,MBox,"$36,654",+141.8%,18,+13,"$2,036","$58,195",-,2
45,45,BOMBSHELL: The Hedy Lamarr Story,Zeit.,"$33,161",-22.6%,27,-1,"$1,228","$626,321",-,19
46,N,Gemini,Neon,"$32,980",-,4,-,"$8,245","$31,976",-,1
47,53,Loveless (2018),SPC,"$32,882",+4.8%,59,+13,$557,"$496,817",-,7
48,58,Final Portrait,SPC,"$32,428",+27.3%,9,+6,"$3,603","$70,058",-,2
49,31,The Hurricane Heist,ENTMP,"$32,276",-69.5%,36,-92,$897,"$6,086,529",$35,4
50,51,Itzhak,Greenwich,"$26,266",-32.3%,26,-,"$1,010","$161,207",-,4
51,41,"I, Tonya",Neon,"$26,038",-58.0%,57,-45,$457,"$29,942,428",-,17
52,N,The China Hustle,Magn.,"$25,791",-,20,-,"$1,290","$25,791",-,1
53,43,Oh Lucy!,FM,"$25,437",-45.7%,30,-11,$848,"$235,226",-,5
54,61,Film Stars Don't Die in Liverpool,SPC,"$20,815",+17.5%,24,-5,$867,"$903,829",-,14
55,33,Getting Grace,Hann.,"$18,528",-82.2%,15,-45,"$1,235","$138,801",-,2
56,59,Hostiles,ENTMP,"$18,062",-18.1%,53,+3,$341,"$29,788,907",-,15
57,56,Phantom Thread,Focus,"$17,270",-41.2%,26,-15,$664,"$21,023,275",-,14
58,54,Operation Red Sea,WGUSA,"$16,524",-45.6%,3,-8,"$5,508","$1,526,248",-,6
59,55,Lady Bird,A24,"$15,549",-47.2%,19,-27,$818,"$48,945,700",-,22
60,70,Goldstone,Lightyear,"$15,030",+33.8%,19,+9,$791,"$65,330",-,5
61,47,Darkest Hour,Focus,"$14,935",-64.0%,34,-28,$439,"$56,443,120",-,19
62,N,Outside In,Orch.,"$14,136",-,9,-,"$1,571","$14,136",-,1
63,57,The Last Suit,OutF,"$13,952",-49.4%,6,-,"$2,325","$51,627",-,2
64,62,Keep the Change,KL,"$11,950",-31.4%,13,+5,$919,"$87,677",-,3
65,48,The Party (2017),RAtt.,"$11,754",-71.6%,35,-35,$336,"$707,996",-,7
66,N,Love After Love,IFC,"$11,290",-,1,-,"$11,290","$11,290",-,1
67,52,Gringo,STX,"$9,160",-74.7%,35,-82,$262,"$4,964,754",-,4
68,66,Bag of Marbles,Gaum.,"$9,091",-37.0%,4,-,"$2,273","$31,126",-,2
69,N,The Great Silence (2018 re-release),FM,"$8,755",-,1,-,"$8,755","$10,275",-,1
