TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,A Quiet Place,Par.,"$50,203,562",-,"3,508",-,"$14,311","$50,203,562",$17,1
2,1,Ready Player One,WB,"$24,624,178",-41.0%,"4,234",-,"$5,816","$96,484,703",-,2
3,N,Blockers,Uni.,"$20,556,350",-,"3,379",-,"$6,084","$20,556,350",$21,1
4,3,Black Panther,BV,"$8,704,968",-24.2%,"2,747",-241,"$3,169","$665,630,708",-,8
5,2,Tyler Perry's Acrimony,LGF,"$8,380,983",-51.2%,"2,006",-,"$4,178","$31,665,563",-,2
6,4,I Can Only Imagine,RAtt.,"$7,806,552",-25.4%,"2,894",+246,"$2,697","$68,533,754",$7,4
7,N,Chappaquiddick,ENTMP,"$5,765,854",-,"1,560",-,"$3,696","$5,765,854",-,1
8,6,Sherlock Gnomes,Par.,"$5,436,068",-22.4%,"2,733",-929,"$1,989","$33,734,129",$59,3
9,5,Pacific Rim Uprising,Uni.,"$4,824,245",-48.5%,"2,627","-1,081","$1,836","$54,837,305",$150,3
10,11,Isle Of Dogs,FoxS,"$4,562,854",+55.0%,554,+389,"$8,236","$12,011,788",-,3
11,N,The Miracle Season,Mirr/LD,"$3,950,652",-,"1,707",-,"$2,314","$3,950,652",-,1
12,8,A Wrinkle in Time,BV,"$3,301,707",-31.8%,"1,701",-666,"$1,941","$90,274,463",-,5
13,9,"Love, Simon",Fox,"$2,767,003",-42.0%,"1,464",-560,"$1,890","$37,544,267",$17,4
14,7,Tomb Raider,WB,"$1,926,315",-60.9%,"1,673","-1,115","$1,151","$55,070,405",$94,4
15,10,"Paul, Apostle of Christ",Sony,"$1,772,226",-48.7%,"1,262",-211,"$1,404","$15,003,077",$5,3
16,12,God's Not Dead: A Light in Darkness,PFR,"$1,094,495",-59.3%,"1,377",-316,$795,"$4,912,576",-,2
17,13,Game Night,WB (NL),"$1,072,746",-57.3%,804,-531,"$1,334","$67,216,416",$37,7
18,17,The Death of Stalin,IFC,"$987,222",-26.6%,548,+64,"$1,802","$5,474,835",-,5
19,14,Peter Rabbit,Sony,"$967,606",-54.4%,"1,027",-640,$942,"$113,277,600",$50,9
20,25,The Leisure Seeker,SPC,"$527,339",+123.6%,353,+198,"$1,494","$1,769,453",-,11
21,20,Jumanji: Welcome to the Jungle,Sony,"$441,016",-35.0%,478,-305,$923,"$403,652,109",$90,16
22,15,Midnight Sun,Global Road,"$423,183",-76.8%,751,"-1,377",$563,"$9,200,204",-,3
23,19,The Greatest Showman,Fox,"$370,458",-47.1%,248,-516,"$1,494","$172,961,890",$84,16
24,18,Red Sparrow,Fox,"$260,341",-63.8%,244,-264,"$1,067","$46,282,882",$69,6
25,22,Baaghi 2,FIP,"$249,864",-61.6%,123,-,"$2,031","$1,165,548",-,2
26,21,Strangers: Prey at Night,Aviron,"$194,895",-70.8%,249,-288,$783,"$24,075,961",-,5
27,N,Pandas,WB,"$158,915",-,33,-,"$4,816","$158,915",-,1
28,23,Annihilation,Par.,"$155,561",-55.0%,145,-98,"$1,073","$32,501,281",$40,7
29,N,You Were Never Really Here,Amazon,"$132,829",-,3,-,"$44,276","$132,829",-,1
30,31,Finding Your Feet,RAtt.,"$124,110",+106.4%,57,+43,"$2,177","$228,575",-,2
31,24,Death Wish (2018),MGM,"$110,763",-64.1%,147,-260,$753,"$33,674,509",$30,6
32,16,Unsane,BST,"$96,133",-93.4%,163,"-1,766",$590,"$7,690,042",-,3
33,46,Gemini,Neon,"$75,984",+130.4%,56,+52,"$1,357","$123,537",-,2
34,28,Ferdinand,Fox,"$72,288",-8.6%,113,-24,$640,"$84,230,756",$111,17
35,29,Coco,BV,"$71,025",-4.2%,99,-21,$717,"$209,624,050",-,20
36,34,Foxtrot,SPC,"$55,918",+6.0%,45,+10,"$1,243","$439,942",-,6
37,48,Final Portrait,SPC,"$54,243",+67.3%,21,+12,"$2,583","$140,399",-,3
38,27,The Shape of Water,FoxS,"$53,458",-44.2%,80,-33,$668,"$63,752,486",-,19
39,50,Itzhak,Greenwich,"$49,794",+89.6%,29,+3,"$1,717","$233,038",-,5
40,32,Maze Runner: The Death Cure,Fox,"$48,449",-14.8%,80,-23,$606,"$57,950,769",$62,11
41,N,Lean on Pete,A24,"$46,975",-,4,-,"$11,744","$46,975",-,1
42,35,The Post,Fox,"$46,067",-12.4%,57,-19,$808,"$81,783,079",$50,16
43,87,1945,Men.,"$39,632","+1,835.2%",13,+10,"$3,049","$491,459",-,23
44,40,A Beautiful Planet,Imax,"$38,608",-13.3%,12,+1,"$3,217","$13,859,453",-,102
45,33,The 15:17 to Paris,WB,"$37,794",-30.1%,81,-27,$467,"$36,237,990",$30,9
