TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,1,Avengers: Infinity War,BV,"$62,078,047",-45.9%,"4,474",-,"$13,875","$548,090,150",-,3
2,N,Life of the Party ,WB (NL),"$17,886,075",-,"3,656",-,"$4,892","$17,886,075",-,1
3,N,Breaking In (2018),Uni.,"$17,630,285",-,"2,537",-,"$6,949","$17,630,285",$6,1
4,2,Overboard (2018),PNT,"$9,864,415",-32.9%,"2,006",+383,"$4,917","$29,358,392",-,2
5,3,A Quiet Place,Par.,"$6,455,396",-16.8%,"3,144",-269,"$2,053","$169,608,030",$17,6
6,4,I Feel Pretty,STX,"$3,805,437",-24.7%,"2,858",-374,"$1,332","$43,952,013",$32,4
7,5,Rampage (2018),WB (NL),"$3,462,442",-25.3%,"2,548",-603,"$1,359","$89,827,105",$120,5
8,6,Tully (2018),Focus,"$2,248,945",-31.5%,"1,356",+3,"$1,659","$6,992,005",-,2
9,7,Black Panther,BV,"$2,077,207",-36.2%,"1,370",-271,"$1,516","$696,331,818",-,13
10,15,RBG,Magn.,"$1,188,186",+105.4%,179,+145,"$6,638","$2,025,953",-,2
11,18,A Wrinkle in Time,BV,"$1,156,780",+181.8%,"1,984","+1,690",$583,"$96,812,656",-,10
12,10,Blockers,Uni.,"$1,115,025",-36.3%,"1,111",-561,"$1,004","$58,126,660",$21,6
13,13,Isle Of Dogs,FoxS,"$1,072,567",+33.0%,"1,046",+344,"$1,025","$29,951,941",-,8
14,9,Super Troopers 2,Fox,"$982,594",-47.5%,"1,379",-739,$713,"$27,383,171",$13.5,4
15,8,Truth or Dare,Uni.,"$916,100",-51.5%,"1,269",-635,$722,"$39,727,000",$3.5,5
16,12,Ready Player One,WB,"$892,682",-32.9%,804,-601,"$1,110","$134,563,601",-,7
17,N,Nothing to Lose (2018),Swen,"$679,531",-,69,-,"$9,848","$679,531",-,1
18,11,Bad Samaritan,Electric,"$518,597",-70.0%,"1,546",-461,$335,"$3,088,522",-,2
19,22,Disobedience,BST,"$420,895",+37.6%,100,+69,"$4,209","$1,189,096",-,3
20,19,Sherlock Gnomes,Par.,"$406,221",+2.0%,608,-28,$668,"$41,760,161",$59,8
21,17,I Can Only Imagine,RAtt.,"$403,218",-5.7%,429,-231,$940,"$82,506,587",$7,9
22,16,102 Not Out,Sony,"$293,584",-39.3%,102,-,"$2,878","$984,973",-,2
23,14,Traffik,LGF,"$276,173",-65.2%,381,-366,$725,"$8,910,787",-,4
24,21,Chappaquiddick,ENTMP,"$249,827",-29.8%,317,-199,$788,"$16,968,137",-,6
25,27,The Rider,SPC,"$221,439",+66.6%,85,+38,"$2,605","$847,749",-,5
26,20,Tyler Perry's Acrimony,LGF,"$206,818",-46.5%,257,-141,$805,"$43,241,894",-,7
27,23,The Death of Stalin,IFC,"$128,259",-26.8%,130,-70,$987,"$7,699,427",-,10
28,24,The Miracle Season,Mirr/LD,"$125,057",-26.9%,234,-96,$534,"$9,927,843",-,6
29,30,Game Night,WB (NL),"$114,888",-0.9%,158,-25,$727,"$68,748,295",$37,12
30,29,Tomb Raider,WB,"$114,295",-11.4%,160,-27,$714,"$57,228,498",$94,9
31,32,Pandas,WB,"$112,898",+21.6%,35,-,"$3,226","$1,159,883",-,6
32,39,Let the Sunshine In,IFC,"$110,922",+73.0%,34,+25,"$3,262","$259,975",-,3
33,26,Peter Rabbit,Sony,"$101,092",-35.2%,179,-53,$565,"$114,930,111",$50,14
34,25,You Were Never Really Here,Amazon,"$84,450",-50.4%,102,-83,$828,"$2,360,394",-,6
35,N,The Seagull,SPC,"$79,016",-,6,-,"$13,169","$79,016",-,1
36,28,Lean on Pete,A24,"$73,949",-43.2%,129,-58,$573,"$1,062,165",-,6
37,31,Beirut,BST,"$61,982",-44.5%,67,-73,$925,"$4,901,769",-,5
38,33,Pacific Rim Uprising,Uni.,"$61,425",-25.3%,112,-49,$548,"$59,163,230",$150,8
39,36,The Greatest Showman,Fox,"$61,273",-10.7%,89,-34,$688,"$173,881,876",$84,21
40,N,Lu Over the Wall,GK,"$60,773",-,97,-,$627,"$60,773",-,1
41,N,Beast,RAtt.,"$53,248",-,4,-,"$13,312","$53,248",-,1
42,35,Sgt. Stubby: An American Hero,FunAcad,"$52,622",-23.6%,109,-21,$483,"$2,933,071",-,5
43,38,"Paul, Apostle of Christ",Sony,"$50,472",-23.8%,112,-34,$451,"$17,499,876",$5,8
44,37,Jumanji: Welcome to the Jungle,Sony,"$49,641",-27.1%,98,-20,$507,"$404,422,300",$90,21
45,N,Revenge (2018),Neon,"$45,924",-,37,-,"$1,241","$45,924",-,1
46,41,Finding Your Feet,RAtt.,"$41,193",-9.2%,61,+1,$675,"$1,336,554",-,7
47,34,"Love, Simon",Fox,"$40,578",-46.8%,103,-36,$394,"$40,697,137",$17,9
48,40,The Leisure Seeker,SPC,"$38,969",-18.7%,67,-9,$582,"$3,096,483",-,21
49,56,God's Not Dead: A Light in Darkness,PFR,"$29,582",+92.4%,67,+23,$442,"$5,673,883",-,7
50,43,Bag of Marbles,Gaum.,"$25,232",-24.1%,15,-,"$1,682","$281,126",-,8
51,42,Itzhak,Greenwich,"$24,767",-27.0%,34,-1,$728,"$483,480",-,10
52,46,The Endless,WGUSA,"$24,067",-5.1%,18,-1,"$1,337","$213,416",-,6
53,47,Grace Jones: Bloodlight and Bami,KL,"$23,626",-6.4%,30,+2,$788,"$284,324",-,5
54,N,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,Magn.,"$22,717",-,2,-,"$11,359","$22,717",-,1
55,49,Death Wish (2018),MGM,"$19,213",-12.0%,23,-6,$835,"$33,977,355",$30,11
56,84,Racer & the Jailbird,Super,"$17,650",+602.3%,48,+46,$368,"$22,563",-,2
57,N,Goodland,PDF,"$17,621",-,2,-,"$8,811","$17,621",-,1
58,N,Champion (2018),WGUSA,"$17,095",-,2,-,"$8,548","$17,095",-,1
59,45,Little Pink House,Da.,"$16,673",-34.7%,13,+2,"$1,283","$171,882",-,4
60,48,Ghost Stories,IFC,"$16,315",-29.3%,16,-8,"$1,020","$118,385",-,4
61,50,1945,Men.,"$12,897",-39.7%,16,-3,$806,"$676,419",-,28
62,52,Back to Burgundy,MBox,"$12,883",-31.1%,17,+3,$758,"$236,771",-,8
63,54,Red Sparrow,Fox,"$12,418",-30.5%,32,-19,$388,"$46,781,469",$69,11
64,51,Final Portrait,SPC,"$12,345",-36.8%,24,-16,$514,"$443,225",-,8
65,44,A Beautiful Planet,Imax,"$11,757",-58.5%,11,-,"$1,069","$14,149,616",-,107
66,N,The Assassin's Code,Grav.,"$11,218",-,12,-,$935,"$11,218",-,1
67,70,Keep the Change,KL,"$10,795",+55.8%,9,+4,"$1,199","$169,824",-,9
68,N,Sollers Point,Osci.,"$10,618",-,1,-,"$10,618","$10,618",-,1
69,62,Godard Mon Amour,Cohen,"$10,352",-9.8%,12,-8,$863,"$69,025",-,4
70,65,Foxtrot,SPC,"$10,195",+7.4%,22,-,$463,"$606,361",-,11
71,53,Strangers: Prey at Night,Aviron,"$9,416",-48.9%,24,-16,$392,"$24,419,775",-,10
72,N,Always at the Carlyle,Good Deed,"$9,239",-,1,-,"$9,239","$9,239",-,1
73,69,The Guardians,MBox,"$8,827",+18.0%,3,+2,"$2,942","$20,428",-,2
74,-,Death House,Hann.,"$8,296",-,7,-,"$1,185","$21,986",-,8
