TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Maze Runner: The Death Cure,Fox,"$24,167,011",-,"3,787",-,"$6,382","$24,167,011",$62,1
2,1,Jumanji: Welcome to the Jungle,Sony,"$16,144,874",-17.2%,"3,553",-151,"$4,544","$337,802,077",$90,6
3,23,Hostiles,ENTMP,"$10,110,739","+1,642.4%","2,816","+2,697","$3,590","$11,958,534",-,6
4,5,The Greatest Showman,Fox,"$9,550,367",-10.3%,"2,663",-160,"$3,586","$126,525,599",$84,6
5,4,The Post,Fox,"$9,107,141",-22.3%,"2,640",-211,"$3,450","$58,793,064",$50,6
6,2,12 Strong,WB,"$8,686,066",-45.1%,"3,018",+16,"$2,878","$29,810,676",-,2
7,3,Den of Thieves,STX,"$8,632,808",-43.2%,"2,432",-,"$3,550","$28,775,253",-,2
8,16,The Shape of Water,FoxS,"$5,922,553",+170.9%,"1,854","+1,001","$3,194","$37,901,298",-,9
9,6,Paddington 2,WB,"$5,668,433",-29.2%,"2,792",-910,"$2,030","$32,118,849",-,3
10,N,Padmaavat,VPD,"$4,493,384",-,326,-,"$13,783","$5,000,650",-,1
11,8,Star Wars: The Last Jedi,BV,"$4,254,001",-35.1%,"1,745",-711,"$2,438","$610,795,822",-,7
12,17,"Three Billboards Outside Ebbing, Missouri",FoxS,"$3,840,684",+100.3%,"1,457",+503,"$2,636","$37,251,635",-,12
13,10,Forever My Girl,RAtt.,"$3,569,890",-15.9%,"1,424",+310,"$2,507","$9,129,049",$3.5,2
14,7,The Commuter,LGF,"$3,412,694",-48.3%,"1,811","-1,081","$1,884","$31,389,883",-,3
15,9,Insidious: The Last Key,Uni.,"$3,189,055",-45.7%,"1,901",-645,"$1,678","$63,449,355",$10,4
16,14,"I, Tonya",Neon,"$3,028,658",+5.9%,960,+161,"$3,155","$18,904,773",-,8
17,12,Phantom Thread,Focus,"$2,981,885",-8.2%,"1,021",+125,"$2,921","$10,713,694",-,5
18,15,Darkest Hour,Focus,"$2,886,835",+5.8%,"1,333",-8,"$2,166","$45,199,242",-,10
19,N,Met Opera: Tosca,Fathom,"$2,000,000",-,900,-,"$2,222","$2,000,000",-,1
20,22,Lady Bird,A24,"$1,887,226",+58.0%,"1,172",+497,"$1,610","$41,610,318",-,13
21,18,Coco,BV,"$1,435,157",-24.9%,621,-257,"$2,311","$202,702,394",-,10
22,13,Pitch Perfect 3,Uni.,"$1,367,760",-54.7%,"1,039",-733,"$1,316","$102,718,890",$45,6
23,11,Proud Mary,SGem,"$1,326,285",-62.8%,"1,003","-1,122","$1,322","$19,250,153",$14,3
24,21,Call Me by Your Name,SPC,"$1,289,639",-10.3%,815,-,"$1,582","$11,300,179",-,10
25,19,Ferdinand,Fox,"$1,020,203",-39.5%,675,-537,"$1,511","$80,551,057",$111,7
26,20,Molly's Game,STX,"$900,977",-44.5%,556,-535,"$1,620","$25,902,410",-,5
27,24,Wonder,LGF,"$430,758",-19.8%,349,-147,"$1,234","$130,563,198",-,11
28,31,Justice League,WB,"$306,788",+143.3%,244,+93,"$1,257","$228,050,134",-,11
29,25,All the Money in the World,TriS,"$224,789",-40.5%,227,-147,$990,"$24,530,696",-,5
30,27,Thor: Ragnarok,BV,"$181,829",-22.5%,150,-34,"$1,212","$313,694,838",$180,13
31,-,Get Out,Uni.,"$165,675",-,468,-,$354,"$175,852,545",$4.5,24
32,28,Daddy's Home 2,Par.,"$152,768",-27.5%,145,-38,"$1,054","$103,751,252",$69,12
33,26,Mary and the Witch's Flower,GK,"$136,114",-60.9%,77,-84,"$1,768","$1,784,811",-,2
34,29,Murder on the Orient Express (2017),Fox,"$127,129",-29.8%,179,-23,$710,"$102,513,318",$55,12
35,30,The Disaster Artist,A24,"$99,095",-43.4%,84,-63,"$1,180","$20,910,950",-,9
36,35,Downsizing,Par.,"$71,321",+1.8%,113,-21,$631,"$24,418,729",$68,6
37,44,The Insult,Cohen,"$60,872",+162.1%,10,+7,"$6,087","$143,712",-,3
38,32,Along with the Gods: The Two Worlds,WGUSA,"$60,073",-42.1%,16,-8,"$3,755","$1,800,193",-,6
39,38,The Florida Project,A24,"$58,071",+49.3%,33,-4,"$1,760","$5,659,113",-,17
40,34,The Star,Sony,"$52,898",-28.0%,97,-35,$545,"$40,785,511",$20,11
41,36,The Final Year,Magn.,"$37,694",-44.5%,33,-2,"$1,142","$141,550",-,2
42,41,Film Stars Don't Die in Liverpool,SPC,"$34,229",-2.9%,19,+3,"$1,802","$246,262",-,5
43,47,In the Fade,Magn.,"$30,833",+90.0%,22,+13,"$1,402","$142,269",-,5
44,37,Blade Runner 2049,WB,"$24,132",-50.9%,72,-52,$335,"$92,044,134",$150,17
45,43,Loving Vincent,Good Deed,"$23,647",-19.5%,21,-14,"$1,126","$6,580,924",-,19
46,50,The Square,Magn.,"$23,449",+79.5%,19,+10,"$1,234","$1,384,256",-,14
47,33,Condorito: La Pelicula,LGF,"$23,312",-69.3%,36,-98,$648,"$442,934",-,3
48,42,Happy End,SPC,"$21,008",-30.9%,14,-4,"$1,501","$197,697",-,6
49,45,A Beautiful Planet,Imax,"$16,669",-8.7%,13,+1,"$1,282","$13,085,603",-,92
50,51,BOMBSHELL: The Hedy Lamarr Story,Zeit.,"$14,561",+17.9%,7,+1,"$2,080","$240,206",-,10
51,55,Faces Places,Cohen,"$14,068",+44.0%,10,+3,"$1,407","$722,829",-,17
52,40,Father Figures,WB,"$13,116",-65.8%,44,-52,$298,"$17,413,119",-,6
53,77,Humor Me,Shout!,"$11,538",+304.7%,5,+3,"$2,308","$21,007",-,3
54,65,"Roman J. Israel, Esq.",Sony,"$11,421",+104.6%,31,+6,$368,"$11,942,780",$22,11
