TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,2,Jumanji: Welcome to the Jungle,Sony,"$10,930,222",-32.3%,"3,352",-201,"$3,261","$352,572,974",$90,7
2,1,Maze Runner: The Death Cure,Fox,"$10,474,895",-56.7%,"3,793",+6,"$2,762","$40,035,094",$62,2
3,N,Winchester,LGF,"$9,307,626",-,"2,480",-,"$3,753","$9,307,626",-,1
4,4,The Greatest Showman,Fox,"$7,695,644",-19.4%,"2,588",-75,"$2,974","$137,370,816",$84,7
5,5,The Post,Fox,"$5,218,122",-42.7%,"2,462",-178,"$2,119","$67,202,632",$50,7
6,3,Hostiles,ENTMP,"$5,108,228",-49.5%,"2,934",+118,"$1,741","$20,822,641",-,7
7,6,12 Strong,WB,"$4,706,481",-45.8%,"2,918",-100,"$1,613","$37,300,034",-,3
8,7,Den of Thieves,STX,"$4,551,163",-47.3%,"2,112",-320,"$2,155","$36,152,095",-,3
9,8,The Shape of Water,FoxS,"$4,448,520",-24.9%,"2,341",+487,"$1,900","$44,728,570",-,10
10,9,Paddington 2,WB,"$3,277,453",-42.2%,"2,388",-404,"$1,372","$36,481,132",-,4
11,12,"Three Billboards Outside Ebbing, Missouri",FoxS,"$3,013,022",-21.5%,"1,726",+269,"$1,746","$41,777,073",-,13
12,16,"I, Tonya",Neon,"$2,469,724",-18.5%,"1,450",+490,"$1,703","$22,553,609",-,9
13,10,Padmaavat,VPD,"$2,438,930",-45.7%,354,+28,"$6,890","$8,900,499",-,2
14,18,Darkest Hour,Focus,"$2,362,975",-18.1%,"1,486",+153,"$1,590","$48,786,132",-,11
15,11,Star Wars: The Last Jedi,BV,"$2,338,242",-45.0%,"1,467",-278,"$1,594","$614,455,022",-,8
16,13,Forever My Girl,RAtt.,"$2,290,241",-35.8%,"1,427",+3,"$1,605","$12,551,895",$3.5,3
17,17,Phantom Thread,Focus,"$2,129,155",-28.6%,"1,186",+165,"$1,795","$14,163,264",-,6
18,21,Coco,BV,"$1,729,708",+20.5%,"1,636","+1,015","$1,057","$204,789,437",-,11
19,14,The Commuter,LGF,"$1,666,757",-51.2%,"1,494",-317,"$1,116","$34,266,504",-,4
20,15,Insidious: The Last Key,Uni.,"$1,462,810",-54.1%,"1,253",-648,"$1,167","$65,753,770",$10,5
21,20,Lady Bird,A24,"$1,315,538",-30.3%,"1,109",-63,"$1,186","$43,688,875",-,14
22,24,Call Me by Your Name,SPC,"$885,090",-31.4%,581,-234,"$1,523","$12,825,208",-,11
23,22,Pitch Perfect 3,Uni.,"$792,105",-42.1%,951,-88,$833,"$103,882,990",$45,7
24,26,Molly's Game,STX,"$789,247",-12.4%,843,+287,$936,"$27,055,182",-,6
25,25,Ferdinand,Fox,"$676,990",-33.6%,575,-100,"$1,177","$81,441,623",$111,8
