TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count / Change,Average,Total Gross,Budget*,Week #
1,N,Fifty Shades Freed,Uni.,"$38,560,195",-,"3,768",-,"$10,234","$38,560,195",$55,1
2,N,Peter Rabbit,Sony,"$25,010,928",-,"3,725",-,"$6,714","$25,010,928",$50,1
3,N,The 15:17 to Paris,WB,"$12,554,286",-,"3,042",-,"$4,127","$12,554,286",$30,1
4,1,Jumanji: Welcome to the Jungle,Sony,"$10,023,344",-8.3%,"3,136",-216,"$3,196","$365,855,215",$90,8
5,4,The Greatest Showman,Fox,"$6,443,343",-16.3%,"2,373",-215,"$2,715","$146,579,213",$84,8
6,2,Maze Runner: The Death Cure,Fox,"$6,222,303",-40.6%,"2,923",-870,"$2,129","$49,240,432",$62,3
7,3,Winchester,LGF,"$5,211,217",-44.0%,"2,480",-,"$2,101","$17,338,575",-,2
8,5,The Post,Fox,"$3,631,998",-30.4%,"1,865",-597,"$1,947","$72,968,518",$50,8
9,9,The Shape of Water,FoxS,"$3,177,255",-28.6%,"1,780",-561,"$1,785","$49,942,946",-,11
10,8,Den of Thieves,STX,"$2,999,379",-34.1%,"1,468",-644,"$2,043","$41,070,702",-,4
11,6,Hostiles,ENTMP,"$2,824,754",-44.7%,"2,214",-720,"$1,276","$26,022,222",-,8
12,7,12 Strong,WB,"$2,743,248",-41.7%,"1,901","-1,017","$1,443","$42,013,427",-,4
13,11,"Three Billboards Outside Ebbing, Missouri",FoxS,"$2,302,015",-23.6%,"1,273",-453,"$1,808","$45,446,821",-,14
14,12,"I, Tonya",Neon,"$1,671,331",-32.3%,"1,088",-362,"$1,536","$25,348,356",-,10
15,14,Darkest Hour,Focus,"$1,604,995",-32.1%,"1,045",-441,"$1,536","$51,485,087",-,12
16,15,Star Wars: The Last Jedi,BV,"$1,397,413",-40.2%,830,-637,"$1,684","$616,833,692",-,9
17,10,Paddington 2,WB,"$1,301,101",-60.3%,"1,429",-959,$910,"$38,533,465",-,5
18,16,Forever My Girl,RAtt.,"$1,239,673",-45.9%,"1,088",-339,"$1,139","$14,578,992",$3.5,4
19,17,Phantom Thread,Focus,"$1,205,825",-43.4%,558,-628,"$2,161","$16,403,919",-,7
20,N,Met Opera: L'Elisir d'Amore (2018),Fathom,"$1,170,000",-,900,-,"$1,300","$1,170,000",-,1
21,N,La Boda de Valentina,PNT,"$1,147,073",-,331,-,"$3,465","$1,147,073",-,1
22,13,Padmaavat,VPD,"$1,039,904",-57.4%,282,-72,"$3,688","$10,638,033",-,3
23,21,Lady Bird,A24,"$902,741",-31.4%,651,-458,"$1,387","$45,205,597",-,15
24,18,Coco,BV,"$886,289",-48.8%,833,-803,"$1,064","$206,172,630",-,12
25,N,Pad Man,Sony,"$740,313",-,152,-,"$4,870","$740,313",-,1
26,N,The Oscar Nominated Short Films 2018,Shrts.,"$695,044",-,198,-,"$3,510","$695,044",-,1
27,22,Call Me by Your Name,SPC,"$675,269",-23.7%,475,-106,"$1,422","$13,937,405",-,12
28,20,Insidious: The Last Key,Uni.,"$596,055",-59.3%,545,-708,"$1,094","$66,768,075",$10,6
29,19,The Commuter,LGF,"$575,770",-65.5%,590,-904,$976,"$35,541,634",-,5
30,24,Molly's Game,STX,"$453,901",-42.5%,537,-306,$845,"$27,906,604",-,7
31,25,Ferdinand,Fox,"$383,861",-43.3%,387,-188,$992,"$81,981,414",$111,9
32,29,Wonder,LGF,"$279,886",+19.1%,261,+5,"$1,072","$131,328,236",-,13
33,23,Pitch Perfect 3,Uni.,"$257,980",-67.4%,317,-634,$814,"$104,388,015",$45,8
34,26,Proud Mary,SGem,"$226,265",-58.7%,211,-302,"$1,072","$20,604,576",$14,5
35,28,Thor: Ragnarok,BV,"$225,071",-8.1%,173,-31,"$1,301","$314,316,296",$180,15
36,30,Justice League,WB,"$170,569",-12.2%,188,-14,$907,"$228,561,662",-,13
37,32,The Insult,Cohen,"$110,122",-0.4%,50,+13,"$2,202","$455,609",-,5
38,35,A Fantastic Woman,SPC,"$109,481",+70.4%,20,+15,"$5,474","$220,820",-,2
39,N,But Deliver Us from Evil,Indic.,"$99,541",-,247,-,$403,"$99,541",-,1
40,33,Daddy's Home 2,Par.,"$84,973",-12.2%,112,-13,$759,"$103,996,842",$69,14
41,27,Bilal: A New Breed of Hero,VE,"$73,595",-76.3%,90,-210,$818,"$458,829",-,2
42,31,All the Money in the World,TriS,"$58,775",-53.7%,63,-91,$933,"$24,885,219",-,7
43,37,Film Stars Don't Die in Liverpool,SPC,"$56,956",+10.3%,39,+5,"$1,460","$392,690",-,7
44,34,Murder on the Orient Express (2017),Fox,"$49,652",-31.2%,94,-40,$528,"$102,726,660",$55,14
45,N,Bomb City,Grav.,"$31,005",-,17,-,"$1,824","$31,005",-,1
46,40,The Florida Project,A24,"$30,674",-35.5%,32,-6,$959,"$5,791,262",-,19
47,39,The Disaster Artist,A24,"$28,774",-43.5%,31,-34,$928,"$21,064,081",-,11
48,47,A Beautiful Planet,Imax,"$25,508",+13.4%,13,-1,"$1,962","$13,192,326",-,94
49,48,Loving Vincent,Good Deed,"$23,226",+15.4%,26,+2,$893,"$6,647,957",-,21
50,42,In the Fade,Magn.,"$22,992",-44.6%,26,-7,$884,"$246,429",-,7
51,44,Father Figures,WB,"$22,147",-33.3%,62,-28,$357,"$17,490,008",-,8
52,45,Faces Places,Cohen,"$21,479",-31.1%,14,-7,"$1,534","$812,275",-,19
53,38,Mary and the Witch's Flower,GK,"$21,331",-58.4%,15,-15,"$1,422","$1,933,016",-,4
54,36,Till the End of the World,CL,"$18,528",-67.9%,12,-15,"$1,544","$102,888",-,2
55,43,Along with the Gods: The Two Worlds,WGUSA,"$16,694",-50.6%,3,-8,"$5,565","$1,894,785",-,8
56,N,First We Take Brooklyn,ZP,"$15,845",-,5,-,"$3,169","$15,845",-,1
57,41,Get Out,Uni.,"$15,530",-66.6%,52,-82,$299,"$176,026,220",$4.5,38
58,52,Happy End,SPC,"$15,406",+12.4%,20,+5,$770,"$245,037",-,8
59,46,The Star,Sony,"$14,726",-48.9%,50,-22,$295,"$40,847,995",$20,13
60,N,Golden Exits,VE,"$11,719",-,1,-,"$11,719","$11,719",-,1
61,49,The Square,Magn.,"$11,570",-40.4%,11,-8,"$1,052","$1,445,674",-,16
62,56,Before We Vanish,Super,"$9,799",+17.1%,5,+3,"$1,960","$26,699",-,2
63,54,The Breadwinner,GK,"$8,068",-33.1%,10,-,$807,"$287,774",-,13
64,92,Let there be Light,ADC,"$7,590","+1,064.1%",15,+14,$506,"$7,224,786",-,16
